"interview__key","y5_hhid","sourceid","ag12a_01_1","ag12a_01_2","ag12a_01_3","ag12a_01_4","ag12a_01_5","ag12a_01_6","ag12a_01_7","ag12a_01_8","ag12a_02","ag12a_03_1","ag12a_03_2","ag12a_03_3","ag12a_03_4","ag12a_04","ag12a_05","ag12a_06","ag12a_07"
"90-92-88-29","1003-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"90-92-88-29","1003-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"90-92-88-29","1003-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"90-92-88-29","1003-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"90-92-88-29","1003-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"16-34-22-80","1005-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"16-34-22-80","1005-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"16-34-22-80","1005-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"16-34-22-80","1005-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"16-34-22-80","1005-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"66-03-93-27","1006-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"66-03-93-27","1006-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"66-03-93-27","1006-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"66-03-93-27","1006-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"66-03-93-27","1006-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"93-03-21-31","1006-001-04",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"93-03-21-31","1006-001-04",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"93-03-21-31","1006-001-04",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"93-03-21-31","1006-001-04",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"93-03-21-31","1006-001-04",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"54-26-09-51","1007-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"54-26-09-51","1007-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"54-26-09-51","1007-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"54-26-09-51","1007-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"54-26-09-51","1007-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"91-42-46-84","1009-001-01",1,2,2,2,2,,2,2,2,2,,,,,,,,
"91-42-46-84","1009-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"91-42-46-84","1009-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"91-42-46-84","1009-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"91-42-46-84","1009-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"49-38-79-42","1025-001-02",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"49-38-79-42","1025-001-02",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"49-38-79-42","1025-001-02",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"49-38-79-42","1025-001-02",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"49-38-79-42","1025-001-02",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"86-53-32-92","1042-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"86-53-32-92","1042-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"86-53-32-92","1042-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"86-53-32-92","1042-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"86-53-32-92","1042-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-52-11-49","1044-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-52-11-49","1044-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-52-11-49","1044-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-52-11-49","1044-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-52-11-49","1044-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"68-51-31-95","1058-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"68-51-31-95","1058-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"68-51-31-95","1058-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"68-51-31-95","1058-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"68-51-31-95","1058-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-14-80-87","1059-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-14-80-87","1059-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-14-80-87","1059-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-14-80-87","1059-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-14-80-87","1059-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"79-06-68-49","1059-001-03",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"79-06-68-49","1059-001-03",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"79-06-68-49","1059-001-03",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"79-06-68-49","1059-001-03",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"79-06-68-49","1059-001-03",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-40-42-06","1059-001-06",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-40-42-06","1059-001-06",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-40-42-06","1059-001-06",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-40-42-06","1059-001-06",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-40-42-06","1059-001-06",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"27-54-41-37","1060-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"27-54-41-37","1060-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"27-54-41-37","1060-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"27-54-41-37","1060-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"27-54-41-37","1060-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"50-50-37-47","1061-001-03",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"50-50-37-47","1061-001-03",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"50-50-37-47","1061-001-03",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"50-50-37-47","1061-001-03",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"50-50-37-47","1061-001-03",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"25-09-89-03","1062-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"25-09-89-03","1062-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"25-09-89-03","1062-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"25-09-89-03","1062-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"25-09-89-03","1062-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"21-11-75-86","1063-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"21-11-75-86","1063-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"21-11-75-86","1063-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"21-11-75-86","1063-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"21-11-75-86","1063-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-59-38-21","1064-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-59-38-21","1064-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-59-38-21","1064-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-59-38-21","1064-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-59-38-21","1064-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-70-28-89","1076-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-70-28-89","1076-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-70-28-89","1076-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-70-28-89","1076-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-70-28-89","1076-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"45-88-08-27","1077-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"45-88-08-27","1077-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"45-88-08-27","1077-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"45-88-08-27","1077-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"45-88-08-27","1077-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"83-42-33-56","1078-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"83-42-33-56","1078-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"83-42-33-56","1078-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"83-42-33-56","1078-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"83-42-33-56","1078-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-38-42-66","1079-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-38-42-66","1079-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-38-42-66","1079-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-38-42-66","1079-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"51-38-42-66","1079-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"70-13-86-62","1080-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"70-13-86-62","1080-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"70-13-86-62","1080-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"70-13-86-62","1080-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"70-13-86-62","1080-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"15-64-51-68","1081-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"15-64-51-68","1081-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"15-64-51-68","1081-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"15-64-51-68","1081-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"15-64-51-68","1081-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-74-76-77","1082-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-74-76-77","1082-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-74-76-77","1082-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-74-76-77","1082-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-74-76-77","1082-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-92-06-80","1083-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-92-06-80","1083-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-92-06-80","1083-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-92-06-80","1083-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"71-92-06-80","1083-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"74-62-00-18","1097-001-04",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"74-62-00-18","1097-001-04",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"74-62-00-18","1097-001-04",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"74-62-00-18","1097-001-04",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"74-62-00-18","1097-001-04",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"08-25-45-41","1134-001-01",1,1,1,2,2,2,2,2,2,1,1,,,,2,2,,1
"08-25-45-41","1134-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"08-25-45-41","1134-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"08-25-45-41","1134-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"08-25-45-41","1134-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-67-12-82","1152-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-67-12-82","1152-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-67-12-82","1152-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-67-12-82","1152-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-67-12-82","1152-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-48-95-02","1155-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-48-95-02","1155-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-48-95-02","1155-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-48-95-02","1155-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"31-48-95-02","1155-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-24-29-81","1159-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-24-29-81","1159-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-24-29-81","1159-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-24-29-81","1159-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-24-29-81","1159-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-91-22-93","1191-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-91-22-93","1191-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-91-22-93","1191-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-91-22-93","1191-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"63-91-22-93","1191-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"09-26-67-92","1193-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"09-26-67-92","1193-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"09-26-67-92","1193-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"09-26-67-92","1193-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"09-26-67-92","1193-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-54-47-04","1198-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-54-47-04","1198-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-54-47-04","1198-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-54-47-04","1198-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-54-47-04","1198-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"12-73-25-80","1209-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"12-73-25-80","1209-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"12-73-25-80","1209-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"12-73-25-80","1209-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"12-73-25-80","1209-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"23-14-85-73","1217-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"23-14-85-73","1217-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"23-14-85-73","1217-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"23-14-85-73","1217-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"23-14-85-73","1217-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-87-17-22","1230-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-87-17-22","1230-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-87-17-22","1230-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-87-17-22","1230-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"40-87-17-22","1230-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-07-13-31","1232-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-07-13-31","1232-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-07-13-31","1232-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-07-13-31","1232-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-07-13-31","1232-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"59-82-97-20","1233-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"59-82-97-20","1233-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"59-82-97-20","1233-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"59-82-97-20","1233-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"59-82-97-20","1233-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"61-64-62-24","1235-001-02",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"61-64-62-24","1235-001-02",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"61-64-62-24","1235-001-02",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"61-64-62-24","1235-001-02",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"61-64-62-24","1235-001-02",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"32-46-17-36","1236-001-04",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"32-46-17-36","1236-001-04",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"32-46-17-36","1236-001-04",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"32-46-17-36","1236-001-04",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"32-46-17-36","1236-001-04",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"97-64-08-95","1250-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"97-64-08-95","1250-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"97-64-08-95","1250-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"97-64-08-95","1250-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"97-64-08-95","1250-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"19-27-15-15","1252-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"19-27-15-15","1252-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"19-27-15-15","1252-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"19-27-15-15","1252-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"19-27-15-15","1252-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"28-24-87-55","1305-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"28-24-87-55","1305-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"28-24-87-55","1305-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"28-24-87-55","1305-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"28-24-87-55","1305-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"65-62-10-78","1323-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"65-62-10-78","1323-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"65-62-10-78","1323-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"65-62-10-78","1323-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"65-62-10-78","1323-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"20-66-75-40","1323-001-04",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"20-66-75-40","1323-001-04",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"20-66-75-40","1323-001-04",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"20-66-75-40","1323-001-04",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"20-66-75-40","1323-001-04",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"00-63-85-41","1325-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"00-63-85-41","1325-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"00-63-85-41","1325-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"00-63-85-41","1325-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"00-63-85-41","1325-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"99-92-94-71","1329-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"99-92-94-71","1329-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"99-92-94-71","1329-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"99-92-94-71","1329-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"99-92-94-71","1329-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"96-56-62-65","1331-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"96-56-62-65","1331-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"96-56-62-65","1331-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"96-56-62-65","1331-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"96-56-62-65","1331-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-10-68-03","1332-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-10-68-03","1332-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-10-68-03","1332-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-10-68-03","1332-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"02-10-68-03","1332-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"14-23-99-91","1333-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"14-23-99-91","1333-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"14-23-99-91","1333-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"14-23-99-91","1333-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"14-23-99-91","1333-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-21-92-45","1348-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-21-92-45","1348-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-21-92-45","1348-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"85-21-92-45","1348-001-01",4,1,1,1,2,2,2,2,2,1,1,,,,1,2,,18
"85-21-92-45","1348-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"76-57-93-24","1385-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"76-57-93-24","1385-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"76-57-93-24","1385-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"76-57-93-24","1385-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"76-57-93-24","1385-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"73-59-11-96","1399-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"73-59-11-96","1399-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"73-59-11-96","1399-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"73-59-11-96","1399-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"73-59-11-96","1399-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"35-22-61-35","1401-001-01",1,1,1,2,2,2,2,2,2,1,1,2,,,1,2,,0
"35-22-61-35","1401-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"35-22-61-35","1401-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"35-22-61-35","1401-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"35-22-61-35","1401-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-91-71-06","1403-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-91-71-06","1403-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-91-71-06","1403-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-91-71-06","1403-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-91-71-06","1403-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"30-62-71-96","1406-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"30-62-71-96","1406-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"30-62-71-96","1406-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"30-62-71-96","1406-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"30-62-71-96","1406-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"92-41-29-59","1419-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"92-41-29-59","1419-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"92-41-29-59","1419-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"92-41-29-59","1419-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"92-41-29-59","1419-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
