"interview__key","y5_hhid","plot_id","plotname","plot_desc","prevplot_id","ag3a_02_1","ag3a_02_2","ag3a_02_3","ag3a_03","ag3a_04","ag3a_07","ag3a_08a_1","ag3a_08a_2","ag3a_08b_1","ag3a_08b_2","ag3a_08b_3","ag3a_08c1","ag3a_08c2","ag3a_09a_1","ag3a_09a_2","ag3a_09b_1","ag3a_09b_2","ag3a_09b_3","ag3a_09c1","ag3a_09c2","ag3a_10","ag3a_11","ag3a_12","ag3a_13","ag3a_14","ag3a_15","ag3a_16_1","ag3a_16_2","ag3a_17","ag3a_18","ag3a_19","ag3a_20","ag3a_21","ag3a_22","ag3a_23","ag3a_24","ag3a_25","ag3a_26_1","ag3a_26_2","ag3a_27","ag3a_28a","ag3a_28b","ag3a_28c","ag3a_28d","ag3a_29_1","ag3a_29_2","ag3a_30","ag3a_31_1","ag3a_31_2","ag3a_31a","ag3a_32_1","ag3a_32_2","ag3a_33","ag3a_34_1","ag3a_34_2","ag3a_35","ag3a_36_1","ag3a_36_2","ag3a_37_1","ag3a_37_2","ag3a_38","ag3a_38a","ag3a_39","ag3a_40","ag3a_41","ag3a_42","ag3a_43","ag3a_44","ag3a_45","ag3a_46_1","ag3a_46_2","ag3a_47","ag3a_48","ag3a_49","ag3a_51","ag3a_52","ag3a_53_1","ag3a_53_2","ag3a_54","ag3a_55","ag3a_56","ag3a_58","ag3a_59_1","ag3a_59_2","ag3a_60","ag3a_62_1","ag3a_62_2","ag3a_63","ag3a_64","ag3a_65_1","ag3a_65_2","ag3a_65a","ag3a_65b_1","ag3a_65b_2","ag3a_65c","ag3a_65d","ag3a_65e_1","ag3a_65e_2","ag3a_66","ag3a_67_1","ag3a_67_2","ag3a_67_3","ag3a_67_4","ag3a_68","ag3a_69","ag3a_70_1","ag3a_70_2","ag3a_71_1","ag3a_71_2","ag3a_71a","ag3a_71b","ag3a_72a","ag3a_72b_1","ag3a_72b_2","ag3a_72b_3","ag3a_72b_4","ag3a_72b_5","ag3a_72b_6","ag3a_72b_7","ag3a_72b_8","ag3a_72b_9","ag3a_72b_10","ag3a_72c_1","ag3a_72c_2","ag3a_72c_3","ag3a_72c_4","ag3a_72c_5","ag3a_72c_6","ag3a_72c_7","ag3a_72c_8","ag3a_72c_9","ag3a_72c_10","ag3a_72d_1","ag3a_72d_2","ag3a_72d_3","ag3a_72d_4","ag3a_72d_5","ag3a_72d_6","ag3a_72d_7","ag3a_72d_8","ag3a_72d_9","ag3a_72d_10","ag3a_72e","ag3a_72f_1","ag3a_72f_2","ag3a_72f_3","ag3a_72f_4","ag3a_72f_5","ag3a_72f_6","ag3a_72f_7","ag3a_72f_8","ag3a_72f_9","ag3a_72f_10","ag3a_72g_1","ag3a_72g_2","ag3a_72g_3","ag3a_72g_4","ag3a_72g_5","ag3a_72g_6","ag3a_72g_7","ag3a_72g_8","ag3a_72g_9","ag3a_72g_10","ag3a_72h_1","ag3a_72h_2","ag3a_72h_3","ag3a_72h_4","ag3a_72h_5","ag3a_72h_6","ag3a_72h_7","ag3a_72h_8","ag3a_72h_9","ag3a_72h_10","ag3a_72i","ag3a_72j_1","ag3a_72j_2","ag3a_72j_3","ag3a_72j_4","ag3a_72j_5","ag3a_72j_6","ag3a_72j_7","ag3a_72j_8","ag3a_72j_9","ag3a_72j_10","ag3a_72k_1","ag3a_72k_2","ag3a_72k_3","ag3a_72k_4","ag3a_72k_5","ag3a_72k_6","ag3a_72k_7","ag3a_72k_8","ag3a_72k_9","ag3a_72k_10","ag3a_72l_1","ag3a_72l_2","ag3a_72l_3","ag3a_72l_4","ag3a_72l_5","ag3a_72l_6","ag3a_72l_7","ag3a_72l_8","ag3a_72l_9","ag3a_72l_10","ag3a_73","ag3a_74_1a","ag3a_74_1b","ag3a_74_1c","ag3a_74_1d","ag3a_74_2a","ag3a_74_2b","ag3a_74_2c","ag3a_74_2d","ag3a_74_3a","ag3a_74_3b","ag3a_74_3c","ag3a_74_3d","ag3a_75","ag3a_76","ag3a_77","ag3a_78","ag3a_79","ag3a_80","ag3a_81","ag3a_82","ag3a_83","ag3a_84","ag3a_85"
"66-03-93-27","1006-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,2,1,,11,1,0,1,2,,,,1,0,1,2,,,,1,1,2,2,,2,,,1,2,,,,0,,20000000,1,,,,3,2,,8,1,2,1,1,2,2,,,,,,,,,,,1900,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,3,2,30000,3,16,1,2,,,,,,,2,,,,,,,,,,,1,2,1,1,2,,,,,,,,,2,2,,,,,,,,,4,4,,,,,,,,,1,1,,,,,,,,,,7,,,,,,,,,,8,,,,,,,,,,1,1,2,,,,,,,,,14,14,,,,,,,,,5,5,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,5
"93-03-21-31","1006-001-04",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,1,1,5,1,,11,1,0,1,2,,,,1,0,1,2,,,,2,1,2,2,,2,,,1,2,,,,0,,20000000,2,,,,3,1,1,8,1,2,1,1,2,2,,,,,,,,,,,1900,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,1,2,10000,3,16,1,2,,,,,,,2,,,,,,,,,,,1,2,1,1,,,,,,,,,,2,,,,,,,,,,7,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,9,,,,,,,,,,1,1,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"54-26-09-51","1007-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0.5,1,4,1,,11,1,0,1,2,,,,1,0,1,2,,,,2,2,3,1,2,1,3,,3,2,,,,0,,5000000,1,,,,3,1,1,8,1,,2,,,,,,,,,,,,,,2018,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,1,2,12000,3,16,2,1,1,2,22000,3,16,2,2,,,,,,,,,,,1,2,1,1,2,,,,,,,,,3,3,,,,,,,,,8,8,,,,,,,,,1,1,2,,,,,,,,,4,4,,,,,,,,,6,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"54-26-09-51","1007-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91-42-46-84","1009-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,5,1,,31,1,0,1,,,,,1,0,1,,,,,2,1,2,1,2,2,,,1,2,,,,0,,20000000,1,,,,3,1,2,8,1,,2,,,,,,,,,,,,,,2010,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,1,2,12000,1,9,1,1,1,2,10000,1,16,1,2,,,,,,,,,,,1,2,1,1,2,,,,,,,,,2,7,,,,,,,,,2,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,2,3,,,,,,,,,1,2,,,,,,,,,1,0,3,0,6000,0,5,0,30000,0,0,0,0,2,,,,,,2,,1,,3
"91-42-46-84","1009-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,4,2.5,7,1,,11,1,0,1,,,,,1,0,1,,,,,4,2,2,2,,2,,,1,2,,,,0,,5000000,7,,,,,,,8,,,,,,,,,350000,1,2,1,2,3,1,,,,2,1,2,,,,,,,2,,,,,,,,,,,,,1,4,2,50000,3,16,2,1,1.5,2,64000,4,16,2,2,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,8,,,,,,,,,,10,,,,,,,,,,1,0,10,0,100000,0,12,0,80000,42,0,0,150000,2,,,,,,2,,1,,3
"49-38-79-42","1025-001-02",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-38-79-42","1025-001-02",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,1,0.5,2,1,,11,1,0,2,,,,,1,0,2,,,,,2,1,2,2,,2,,,3,2,,,,0,,60000000,7,,,,,,,8,,,,,,,,,70000,1,2,1,1,2,2,,,,2,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,1,1,2,,,,,,,,,,2,,,,,,,,,,8,,,,,,,,,,1,2,,,,,,,,,,7,,,,,,,,,,8,,,,,,,,,,1,2,,,,,,,,,,10,,,,,,,,,,8,,,,,,,,,,1,6,8,0,0,9,6,0,0,6,4,0,0,1,2,,1,,3,,,,,
"36-53-30-05","1038-001-02",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-68-74-00","1041-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-68-74-00","1041-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-53-32-92","1042-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,25000000,6,,,,,,,8,,,,,,,,,,,,,1,1,1,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,5
"86-53-32-92","1042-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,200,2,15,1,,11,1,0,1,,,,,1,0,1,,,,,1,1,2,2,,2,,,1,2,,,,0,,3500000,7,,,,,,,8,,,,,,,,,210000,12,1,1,3,5,1,3,,,2,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,1,2,1,1,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,1,1,,,,,,,,,,14,,,,,,,,,,9,,,,,,,,,,1,1,,,,,,,,,,15,,,,,,,,,,1,,,,,,,,,,1,0,4,0,16000,3,2,0,140000,5,6,0,122000,2,,,,,,2,,2,6,
"68-38-43-94","1043-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-52-11-49","1044-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,27,1,11,1,,23,1,0,1,,,,,1,0,1,,,,,2,2,2,2,,2,,,1,2,,,,0,,1000000,7,,,,,,,8,,,,,,,,,0,,,1,3,1,1,,,,2,1,2,,,,,,,1,2,50,32000,3,16,3,2,,,,,,2,,,,,,,1,1,2,17000,3,16,3,2,,,,,,,,,,,2,2,1,1,,,,,,,,,,9,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,14,,,,,,,,,,6,,,,,,,,,,1,0,9,0,0,0,3,0,0,0,0,0,0,2,,,,,,2,,2,5,
"68-51-31-95","1058-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,4,1,6,1,,12,1,0,1,2,,,,1,0,1,,,,,3,2,2,2,,1,1,,1,2,,,,0,,1500000,7,,,,,,,8,,,,,,,,,300000,1,2,1,3,1,1,2,,,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,1,1,1,2,3,,,,,,,,22,18,5,,,,,,,,6,6,6,,,,,,,,1,1,2,3,,,,,,,,5,5,3,,,,,,,,6,6,6,,,,,,,,1,1,2,,,,,,,,,3,3,,,,,,,,,10,10,,,,,,,,,1,0,0,0,0,0,0,0,0,0,9,0,130000,2,,,,,,2,,1,,3
"71-14-80-87","1059-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",1,2,4,1,,11,1,0,1,2,,,,1,0,1,2,,,,2,3,3,1,3,2,,,3,2,,,,0,,25000000,5,,,,3,1,1,8,1,2,1,1,,2,,,,,,,,,,,2009,2,2,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,2,1,1,2,6,7,,,,,,,31,31,31,31,,,,,,,4,4,4,4,,,,,,,1,1,2,6,7,,,,,,,30,30,30,30,,,,,,,4,4,4,4,,,,,,,1,1,2,6,7,,,,,,,21,21,21,21,,,,,,,6,6,6,6,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"71-14-80-87","1059-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",2,1,4,1,,11,1,0,1,,,,,1,0,1,2,,,,2,3,3,1,2,2,,,1,2,,,,0,,25000000,5,,,,3,1,1,8,1,2,1,1,,2,,,,,,,,,,,2013,2,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,1,1,1,2,6,7,,,,,,,14,14,14,14,,,,,,,4,4,4,4,,,,,,,1,1,2,6,7,,,,,,,14,14,14,14,,,,,,,4,4,4,4,,,,,,,1,1,2,6,7,,,,,,,14,14,14,14,,,,,,,4,4,4,4,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"79-06-68-49","1059-001-03",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,1,0.1,5,1,,22,1,0,1,,,,,1,0,1,,,,,2,2,2,2,,2,,,1,2,,,,0,,2000000,5,,,,3,2,,8,1,,2,,,,,,,,,,,,,,2009,2,2,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,1,1,1,2,4,5,,,,,,,10,10,10,10,,,,,,,6,6,6,6,,,,,,,1,1,2,4,5,,,,,,,7,7,7,7,,,,,,,6,6,6,6,,,,,,,1,1,2,4,5,,,,,,,30,30,30,30,,,,,,,6,6,6,6,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
