"interview__key","y5_hhid","itemcode","hh_j01","hh_j02_1","hh_j02_2","hh_j03_1","hh_j03_2","hh_j04","hh_j05_1","hh_j05_2","hh_j06_1","hh_j06_2","j1_selection"
"49-38-79-42","1025-001-02",112,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",201,1,2,730,2,730,1000,,0,,0,2
"49-38-79-42","1025-001-02",202,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",203,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",204,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",205,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",206,1,2,2500,,0,,2,2500,,0,2
"49-38-79-42","1025-001-02",207,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",301,1,2,500,2,500,1350,,0,,0,2
"49-38-79-42","1025-001-02",302,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",303,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",401,1,1,1,1,1,2800,,0,,0,2
"49-38-79-42","1025-001-02",501,1,2,250,2,250,1000,,0,,0,2
"49-38-79-42","1025-001-02",502,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",503,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",504,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",601,1,2,700,2,700,1000,,0,,0,2
"49-38-79-42","1025-001-02",602,1,2,650,,0,,,0,2,650,2
"49-38-79-42","1025-001-02",603,1,2,150,,0,,,0,2,150,2
"49-38-79-42","1025-001-02",701,1,2,650,2,650,1000,,0,,0,2
"49-38-79-42","1025-001-02",702,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",703,1,2,500,,0,,,0,2,500,2
"49-38-79-42","1025-001-02",704,1,2,300,,0,,,0,2,300,2
"49-38-79-42","1025-001-02",801,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",802,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",803,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",804,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",805,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",806,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",807,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",808,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",809,1,2,170,2,170,1000,,0,,0,2
"49-38-79-42","1025-001-02",810,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",901,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",902,1,4,1500,4,1500,1800,,0,,0,2
"49-38-79-42","1025-001-02",903,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1001,1,4,250,4,250,1200,,0,,0,2
"49-38-79-42","1025-001-02",1002,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1003,1,2,100,2,100,125,,0,,0,2
"49-38-79-42","1025-001-02",1004,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1081,1,1,1,1,1,1300,,0,,0,2
"49-38-79-42","1025-001-02",1082,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1101,1,2,10,2,10,200,,0,,0,2
"49-38-79-42","1025-001-02",1102,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1103,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1104,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1105,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1106,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1107,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",1108,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",101,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",102,1,1,5,1,5,7500,,0,,0,2
"06-31-99-33","1039-001-01",103,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",104,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",105,1,1,4,1,4,4000,,0,,0,2
"06-31-99-33","1039-001-01",106,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",107,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",109,1,1,7,2,2800,7000,,0,,0,2
"06-31-99-33","1039-001-01",110,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",111,1,2,900,2,900,3000,,0,,0,2
"06-31-99-33","1039-001-01",112,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",201,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",202,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",203,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",204,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",205,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",206,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",207,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",301,1,2,1500,2,1500,4100,,0,,0,2
"06-31-99-33","1039-001-01",302,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",303,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",401,1,1,2,1,2,4000,,0,,0,2
"06-31-99-33","1039-001-01",501,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",502,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",503,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",504,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",601,1,2,1250,2,1250,2500,,0,,0,2
"06-31-99-33","1039-001-01",602,1,2,250,2,250,600,,0,,0,2
"06-31-99-33","1039-001-01",603,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",701,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",702,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",703,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",704,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",801,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",802,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",803,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",804,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",805,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",806,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",807,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",808,1,2,500,2,500,4000,,0,,0,2
"06-31-99-33","1039-001-01",809,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",810,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",901,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",902,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",903,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1001,1,4,500,4,500,2500,,0,,0,2
"06-31-99-33","1039-001-01",1002,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1003,1,2,125,2,125,125,,0,,0,2
"06-31-99-33","1039-001-01",1004,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1081,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1082,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1101,1,2,40,2,40,550,,0,,0,2
"06-31-99-33","1039-001-01",1102,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1103,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1104,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1105,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1106,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1107,2,,,,,,,,,,2
"06-31-99-33","1039-001-01",1108,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",101,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",102,1,2,1500,2,1500,2400,,0,,0,2
"83-42-33-56","1078-001-01",103,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",104,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",105,1,1,10,,0,,1,10,,0,2
"83-42-33-56","1078-001-01",106,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",107,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",109,1,2,800,2,800,2000,,0,,0,2
"83-42-33-56","1078-001-01",110,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",111,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",112,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",201,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",202,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",203,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",204,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",205,1,1,4,1,4,1500,,0,,0,2
"83-42-33-56","1078-001-01",206,1,1,7,1,7,3000,,0,,0,2
"83-42-33-56","1078-001-01",207,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",301,1,1,1,1,1,3000,,0,,0,2
"83-42-33-56","1078-001-01",302,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",303,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",401,1,1,1,1,1,1400,,0,,0,2
"83-42-33-56","1078-001-01",501,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",502,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",503,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",504,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",601,1,2,500,2,500,1000,,0,,0,2
"83-42-33-56","1078-001-01",602,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",603,1,2,600,2,600,1000,,0,,0,2
"83-42-33-56","1078-001-01",701,1,2,1600,2,1600,1000,,0,,0,2
"83-42-33-56","1078-001-01",702,1,1,4,1,4,2000,,0,,0,2
"83-42-33-56","1078-001-01",703,1,2,1500,2,1500,1000,,0,,0,2
"83-42-33-56","1078-001-01",704,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",801,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",802,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",803,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",804,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",805,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",806,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",807,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",808,1,2,600,2,600,2000,,0,,0,2
"83-42-33-56","1078-001-01",809,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",810,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",901,1,4,7500,,0,,4,7500,,0,2
"83-42-33-56","1078-001-01",902,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",903,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1001,1,3,1,3,1,6000,,0,,0,2
"83-42-33-56","1078-001-01",1002,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1003,1,2,125,2,125,125,,0,,0,2
"83-42-33-56","1078-001-01",1004,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1081,1,1,1,1,1,1600,,0,,0,2
"83-42-33-56","1078-001-01",1082,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1101,1,2,50,2,50,600,,0,,0,2
"83-42-33-56","1078-001-01",1102,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1103,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1104,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1105,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1106,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1107,2,,,,,,,,,,2
"83-42-33-56","1078-001-01",1108,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",101,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",102,1,1,1,,0,,,0,1,1,2
"19-26-42-80","1102-001-01",103,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",104,1,1,3,,0,,,0,1,3,2
"19-26-42-80","1102-001-01",105,1,1,2,,0,,,0,1,2,2
"19-26-42-80","1102-001-01",106,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",107,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",109,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",110,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",111,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",112,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",201,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",202,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",203,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",204,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",205,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",206,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",207,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",301,1,1,2,1,2,5000,,0,,0,2
"19-26-42-80","1102-001-01",302,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",303,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",401,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",501,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",502,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",503,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",504,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",601,1,2,300,2,300,500,,0,,0,2
"19-26-42-80","1102-001-01",602,1,2,500,,0,,2,500,,0,2
"19-26-42-80","1102-001-01",603,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",701,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",702,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",703,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",704,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",801,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",802,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",803,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",804,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",805,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",806,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",807,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",808,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",809,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",810,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",901,1,3,3,,0,,,0,3,3,2
"19-26-42-80","1102-001-01",902,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",903,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1001,1,4,500,4,500,2500,,0,,0,2
"19-26-42-80","1102-001-01",1002,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1003,1,2,250,2,250,400,,0,,0,2
"19-26-42-80","1102-001-01",1004,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1081,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1082,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1101,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1102,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1103,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1104,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1105,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1106,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1107,2,,,,,,,,,,2
"19-26-42-80","1102-001-01",1108,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",101,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",102,1,1,4,1,4,6000,,0,,0,2
"39-14-27-76","1142-001-01",103,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",104,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",105,1,1,2.5,1,2.5,2500,,0,,0,2
"39-14-27-76","1142-001-01",106,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",107,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",109,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",110,1,5,9,5,9,900,,0,,0,2
"39-14-27-76","1142-001-01",111,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",112,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",201,1,1,1.5,1,1.5,1000,,0,,0,2
"39-14-27-76","1142-001-01",202,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",203,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",204,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",205,1,1,3,1,3,3000,,0,,0,2
"39-14-27-76","1142-001-01",206,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",207,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",301,1,2,500,2,500,1400,,0,,0,2
"39-14-27-76","1142-001-01",302,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",303,1,3,2,,0,,3,2,,0,2
"39-14-27-76","1142-001-01",401,1,2,500,2,500,1400,,0,,0,2
"39-14-27-76","1142-001-01",501,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",502,1,1,1,1,1,2400,,0,,0,2
"39-14-27-76","1142-001-01",503,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",504,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",601,1,1,2,1,2,5000,,0,,0,2
"39-14-27-76","1142-001-01",602,1,1,1.5,1,1.5,1500,,0,,0,2
"39-14-27-76","1142-001-01",603,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",701,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",702,1,1,1.25,1,1.25,1400,,0,,0,2
"39-14-27-76","1142-001-01",703,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",704,1,1,2,1,2,1000,,0,,0,2
"39-14-27-76","1142-001-01",801,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",802,1,1,1,1,1,8000,,0,,0,2
"39-14-27-76","1142-001-01",803,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",804,1,1,1,1,1,8000,,0,,0,2
"39-14-27-76","1142-001-01",805,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",806,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",807,1,5,10,5,10,2500,,0,,0,2
"39-14-27-76","1142-001-01",808,1,2,250,2,250,3000,,0,,0,2
"39-14-27-76","1142-001-01",809,1,5,2,5,2,3000,,0,,0,2
"39-14-27-76","1142-001-01",810,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",901,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",902,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",903,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1001,1,4,500,4,500,3500,,0,,0,2
"39-14-27-76","1142-001-01",1002,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1003,1,2,200,2,200,200,,0,,0,2
"39-14-27-76","1142-001-01",1004,1,2,50,2,50,1000,,0,,0,2
"39-14-27-76","1142-001-01",1081,1,2,750,2,750,1200,,0,,0,2
"39-14-27-76","1142-001-01",1082,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1101,1,2,12,2,12,200,,0,,0,2
"39-14-27-76","1142-001-01",1102,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1103,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1104,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1105,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1106,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1107,2,,,,,,,,,,2
"39-14-27-76","1142-001-01",1108,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",101,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",102,1,1,10,1,10,17000,,0,,0,2
"19-34-39-64","1196-001-01",103,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",104,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",105,1,1,7,1,7,8400,,0,,0,2
"19-34-39-64","1196-001-01",106,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",107,1,1,1,1,1,6000,,0,,0,2
"19-34-39-64","1196-001-01",109,1,2,2000,2,2000,4000,,0,,0,2
"19-34-39-64","1196-001-01",110,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",111,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",112,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",201,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",202,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",203,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",204,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",205,1,2,570,2,570,1000,,0,,0,2
"19-34-39-64","1196-001-01",206,1,2,2400,2,2400,3000,,0,,0,2
"19-34-39-64","1196-001-01",207,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",301,1,1,1,1,1,2600,,0,,0,2
"19-34-39-64","1196-001-01",302,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",303,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",401,1,1,2,1,2,5200,,0,,0,2
"19-34-39-64","1196-001-01",501,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",502,1,2,1200,2,1200,2400,,0,,0,2
"19-34-39-64","1196-001-01",503,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",504,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",601,1,2,2500,2,2500,3500,,0,,0,2
"19-34-39-64","1196-001-01",602,1,2,2100,2,2100,3500,,0,,0,2
"19-34-39-64","1196-001-01",603,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",701,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",702,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",703,1,2,1800,2,1800,1500,,0,,0,2
"19-34-39-64","1196-001-01",704,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",801,1,2,1500,,0,,,0,2,1500,2
"19-34-39-64","1196-001-01",802,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",803,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",804,1,1,2,1,2,15000,,0,,0,2
"19-34-39-64","1196-001-01",805,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",806,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",807,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",808,1,2,500,2,500,3500,,0,,0,2
"19-34-39-64","1196-001-01",809,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",810,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",901,1,3,2,3,2,4800,,0,,0,2
"19-34-39-64","1196-001-01",902,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",903,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",1001,1,3,1,3,1,4400,,0,,0,2
"19-34-39-64","1196-001-01",1002,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",1003,1,2,200,2,200,200,,0,,0,2
"19-34-39-64","1196-001-01",1004,2,,,,,,,,,,2
"19-34-39-64","1196-001-01",1081,2,,,,,,,,,,2
