"interview__key","y5_hhid","hh_b1b14","ag2a_11","ag10_01"
"48-43-31-89","3191-001-01",1,2,2
"71-65-11-52","3192-001-01",2,2,1
"47-22-49-38","3226-001-05",,,
"00-41-29-30","3338-001-06",,,
"61-26-75-56","3340-001-01",,,
"38-07-00-15","3385-001-03",,,
"53-03-79-22","3387-001-04",,,
"86-30-64-46","3470-001-02",,,
"97-16-21-93","3474-001-01",,,
"25-21-14-19","3477-001-03",1,1,2
"70-99-48-97","3480-001-01",,,
"97-77-83-36","3495-001-01",1,2,2
"73-75-10-15","3495-001-03",2,,
"24-81-45-05","3719-001-01",1,2,2
"26-58-05-33","3737-001-01",1,1,2
"98-39-03-02","3738-001-02",1,1,1
"69-36-36-13","3739-001-01",2,1,1
"45-98-24-04","3741-001-04",1,1,1
"19-82-60-37","3742-001-01",1,1,2
"45-90-10-23","3781-001-02",1,1,1
"57-63-62-90","3970-001-02",2,1,2
"99-03-56-38","3970-001-03",1,1,1
"01-44-20-24","3985-001-01",,,
"32-76-07-36","3987-001-01",,,
"40-83-11-31","3988-001-01",1,1,1
"33-86-89-61","3989-001-01",,,
"31-70-53-03","3990-001-01",1,1,2
"86-10-26-31","4041-001-03",1,1,2
"23-18-10-95","4042-001-01",1,1,1
"08-74-51-59","4044-001-01",2,1,1
"42-06-56-07","4044-001-02",1,1,1
"32-39-94-05","4046-001-01",1,1,1
"83-55-87-54","4047-001-01",1,1,1
"19-64-20-93","4137-001-01",1,2,1
"53-43-54-84","4137-001-06",1,2,1
"17-12-17-70","4138-001-01",1,2,1
"83-49-56-57","4139-001-01",1,2,1
"66-95-65-17","4140-001-01",1,2,1
"45-74-24-36","4141-001-01",1,2,1
"37-73-60-50","4237-001-01",,,
"29-58-66-32","4365-001-05",1,1,2
"77-14-05-26","4367-001-01",1,1,1
"89-30-33-36","4442-001-05",,,
"18-84-57-80","4443-001-03",1,1,1
"77-57-87-51","4443-001-05",1,1,1
"82-26-21-39","4445-001-03",1,1,1
"81-84-58-85","4445-001-04",1,1,1
"36-39-21-63","4478-001-01",1,1,1
"54-34-39-91","4478-001-03",1,1,1
"25-88-33-81","4481-001-01",1,1,1
"99-28-29-12","4482-001-03",1,1,1
"41-58-31-40","4483-001-01",2,1,1
"14-35-00-15","4484-001-01",2,1,1
"48-62-55-60","4496-001-01",2,1,2
"98-57-46-79","4497-001-01",1,1,1
"34-85-87-84","4498-001-03",1,1,1
"27-01-39-84","4499-001-02",1,1,1
"05-19-84-16","4499-001-03",1,1,1
"52-69-37-48","4500-001-01",2,1,1
"07-40-17-94","4501-001-02",1,1,1
"10-94-44-73","4501-001-03",1,1,1
"56-35-31-49","4501-001-04",1,1,1
"75-25-78-64","4501-001-06",1,1,1
"41-39-89-99","4501-001-07",1,1,1
"79-90-44-82","4501-001-08",1,1,1
"27-12-14-23","4501-001-15",1,1,1
"46-06-74-34","4502-001-01",2,1,1
"72-51-93-50","4503-001-01",1,1,1
"65-85-36-39","4610-001-03",2,,
"26-21-26-62","4611-001-01",1,2,2
"32-04-36-83","4613-001-01",1,1,1
"59-40-38-53","4614-001-01",1,1,1
"64-20-85-60","4615-001-01",2,1,1
"29-51-90-80","4616-001-01",1,1,1
"63-32-21-81","4616-001-03",1,1,1
"20-68-50-49","4616-001-04",1,1,2
"35-88-72-58","4618-001-02",1,1,1
"10-28-09-94","4618-001-03",,,
"02-23-53-22","4648-001-01",1,1,1
"38-73-88-63","4650-001-01",1,1,1
"63-63-73-11","4651-001-01",2,1,2
"92-11-72-84","4655-001-01",2,1,1
"69-31-95-97","4655-001-03",,,
"78-40-70-97","4667-001-01",1,1,1
"27-44-96-42","4667-001-03",1,1,1
"89-60-64-18","4668-001-01",1,1,1
"17-03-15-71","4669-001-01",1,1,1
"55-86-26-38","4670-001-01",1,1,1
"64-93-12-24","4671-001-01",2,1,1
"51-54-67-86","4672-001-01",1,2,1
"03-89-93-60","4673-001-01",1,1,1
"19-56-77-12","4673-001-02",1,1,1
"34-09-21-58","4674-001-01",2,1,1
"22-96-03-48","4674-001-02",1,1,1
"13-80-32-63","4724-001-01",1,1,1
"46-46-75-67","4725-001-01",1,1,1
"50-56-16-50","4726-001-01",1,1,2
"64-29-60-19","4727-001-03",1,2,2
"14-54-41-37","4728-001-01",1,2,1
"69-36-12-77","4730-001-01",1,2,1
"47-67-32-84","4730-001-03",1,2,1
"37-63-74-98","4731-001-01",2,1,1
"99-24-15-13","4731-001-02",1,1,1
"37-89-07-71","4821-001-01",1,1,1
"83-88-14-90","4821-001-07",1,1,1
"85-73-80-99","4822-001-06",1,1,1
"39-17-25-57","4823-001-01",1,1,1
"58-67-39-47","4825-001-01",1,1,1
"91-09-61-37","4826-001-02",1,1,1
"51-20-55-51","4826-001-11",1,1,1
"98-17-39-89","4829-001-01",1,1,1
"02-39-87-31","4878-001-01",1,1,1
"80-02-63-90","4879-001-01",1,2,1
"78-15-30-22","4880-001-01",2,2,1
"87-00-29-74","4880-001-03",1,1,1
"15-09-89-02","4881-001-01",1,1,1
"20-18-08-46","4882-001-01",1,2,1
"58-98-10-28","4883-001-01",2,1,1
"37-86-09-80","4915-001-01",1,1,1
"19-81-67-34","4920-001-01",2,1,2
"84-34-29-43","4990-001-02",1,1,1
"29-18-72-73","9001-001-99",,,
"91-80-00-72","9006-001-99",,,
"55-33-48-38","9096-001-99",,,
"09-35-31-69","9099-001-99",,,
"20-42-86-54","9100-001-99",,,
"33-06-61-07","9108-001-99",,,
"59-75-60-77","9109-001-99",,,
"30-85-93-38","9110-001-99",,,
"32-31-87-86","9111-001-99",,,
"16-39-66-42","9112-001-99",,,
"65-76-97-32","9241-001-99",,,
"38-09-42-45","9256-001-99",,,
"55-58-96-51","9259-001-99",,,
"42-35-72-58","9260-001-99",,,
"57-53-44-29","9264-001-99",,,
"26-88-91-53","9265-001-99",,,
"79-42-48-21","9267-001-99",,,
"18-40-65-77","9268-001-99",1,2,2
"81-05-08-37","9270-001-99",1,2,1
"80-43-44-57","9271-001-99",1,2,1
"78-76-44-05","9276-001-99",,,
"65-25-50-74","9277-001-99",,,
"66-74-21-15","9278-001-99",,,
"32-81-93-83","9279-001-99",,,
"90-42-19-68","9280-001-99",,,
"51-77-23-08","9283-001-99",1,2,1
"53-09-03-61","9340-001-99",,,
"19-42-72-09","9341-001-99",,,
"08-28-19-76","9342-001-99",,,
"80-96-72-77","9344-001-99",,,
"90-76-99-37","9351-001-99",,,
"99-58-23-94","9353-001-99",,,
"03-46-94-27","9354-001-99",,,
"08-30-26-37","9355-001-99",,,
