"interview__key","y5_hhid","plot_id","cropid","ag6a_02","ag6a_03","ag6a_04","ag6a_05","ag6a_06","ag6a_06a","ag6a_07_1","ag6a_07_2","ag6a_07_3","ag6a_07_4","ag6a_08_1","ag6a_08_2","ag6a_09","ag6a_10","ag6a_11"
"31-67-12-82","1152-001-01",1,851,25,2020,0,2,,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,852,11,2019,0,2,,2,,,,,,,,,
"31-48-95-02","1155-001-01",1,70,1,2020,1,2,,2,,,,,,,,,
"31-48-95-02","1155-001-01",1,71,2,2016,0,2,,1,2020,10,2020,12,2,,30,2,
"31-48-95-02","1155-001-01",1,73,1,2016,0,2,,2,,,,,,,,,
"31-48-95-02","1155-001-01",1,76,1,2016,0,2,,2,,,,,,,,,
"31-48-95-02","1155-001-01",1,80,1,2018,0,2,,2,,,,,,,,,
"63-91-22-93","1191-001-01",1,80,1,2010,0,1,2,2,,,,,,,,,
"02-54-47-04","1198-001-01",1,71,47,2019,0,2,,1,2020,9,2021,1,1,2,50,2,
"02-54-47-04","1198-001-01",1,74,2,2019,1,2,,1,2020,8,2021,1,1,2,40,2,
"12-73-25-80","1209-001-01",2,71,70,2015,0,1,2,1,2020,3,2020,12,1,2,45,2,
"12-73-25-80","1209-001-01",2,72,2,2017,0,1,2,2,,,,,,,,,
"12-73-25-80","1209-001-01",2,73,3,2018,0,1,2,2,,,,,,,,,
"12-73-25-80","1209-001-01",2,74,4,2018,0,1,2,1,2020,2,2020,12,1,2,50,1,1
"12-73-25-80","1209-001-01",2,75,3,2019,0,1,2,2,,,,,,,,,
"12-73-25-80","1209-001-01",2,76,3,2015,0,1,2,1,2020,2,2020,3,1,2,100,2,
"12-73-25-80","1209-001-01",2,79,2,2015,0,1,2,2,,,,,,,,,
"12-73-25-80","1209-001-01",2,80,2,2015,0,1,2,2,,,,,,,,,
"23-14-85-73","1217-001-01",1,38,3,2020,1,1,2,2,,,,,,,,,
"23-14-85-73","1217-001-01",1,71,22,2015,0,1,2,1,2020,6,2020,11,1,2,60,2,
"23-14-85-73","1217-001-01",1,73,1,2018,0,1,2,2,,,,,,,,,
"23-14-85-73","1217-001-01",1,74,1,2019,0,1,2,1,2020,8,2020,10,1,2,30,2,
"40-87-17-22","1230-001-01",1,38,1,1999,0,1,2,1,2020,12,2020,12,2,,25,2,
"40-87-17-22","1230-001-01",1,71,20,1998,9,1,2,1,2020,12,2020,12,2,,20,2,
"40-87-17-22","1230-001-01",1,74,9,2019,3,1,2,1,2020,12,2020,12,2,,15,1,3
"40-87-17-22","1230-001-01",1,76,2,2020,2,1,2,2,,,,,,,,,
"40-87-17-22","1230-001-01",1,80,1,1999,0,1,2,1,2019,12,2020,3,2,,20,1,1
"40-87-17-22","1230-001-01",1,98,1,1999,0,1,2,1,2020,12,2020,12,2,,8,1,1
"40-87-17-22","1230-001-01",1,200,1,2012,0,1,2,1,2019,7,2019,7,2,,85,1,1
"40-87-17-22","1230-001-01",1,205,2,2013,0,1,2,1,2019,9,2019,11,2,,12,1,1
"85-07-13-31","1232-001-01",1,71,5,2017,0,1,2,2,,,,,,,,,
"85-07-13-31","1232-001-01",1,73,1,2018,0,2,,2,,,,,,,,,
"59-82-97-20","1233-001-01",1,74,1,2018,0,1,2,1,2020,9,2021,2,2,,60,1,4
"59-82-97-20","1233-001-01",2,70,10,2019,5,1,2,2,,,,,,,,,
"59-82-97-20","1233-001-01",2,74,50,2019,50,1,2,2,,,,,,,,,
"59-82-97-20","1233-001-01",2,80,10,2019,10,1,2,2,,,,,,,,,
"59-82-97-20","1233-001-01",2,851,5,2019,5,1,2,2,,,,,,,,,
"61-64-62-24","1235-001-02",1,71,7,2020,7,1,2,2,,,,,,,,,
"61-64-62-24","1235-001-02",1,73,2,2019,0,1,2,2,,,,,,,,,
"97-64-08-95","1250-001-01",1,71,8,2020,2,1,2,2,,,,,,,,,
"97-64-08-95","1250-001-01",1,73,1,2020,0,1,2,2,,,,,,,,,
"19-27-15-15","1252-001-01",1,71,25,2016,0,1,2,1,2020,3,2020,10,1,,120,2,
"19-27-15-15","1252-001-01",1,74,4,2017,4,1,2,2,,,,,,,,,
"28-24-87-55","1305-001-01",1,69,6,1900,0,2,,1,2020,11,2021,1,1,,300,2,
"28-24-87-55","1305-001-01",1,71,3000,1900,0,2,,1,2020,9,2021,8,1,,15000,2,
"28-24-87-55","1305-001-01",1,72,10,1900,0,2,,1,2021,4,2021,5,1,,1600,2,
"65-62-10-78","1323-001-01",1,70,1,2020,1,2,,2,,,,,,,,,
"65-62-10-78","1323-001-01",1,71,5,2019,2,2,,1,2020,7,2020,7,1,,80,2,
"65-62-10-78","1323-001-01",1,74,2,2020,2,2,,2,,,,,,,,,
"65-62-10-78","1323-001-01",1,76,2,2019,0,2,,2,,,,,,,,,
"65-62-10-78","1323-001-01",1,200,2,2017,0,2,,1,2020,7,2020,7,1,,40,1,3
"00-63-85-41","1325-001-01",1,71,3,2018,0,1,2,1,2021,1,2021,1,2,,6,2,
"00-63-85-41","1325-001-01",1,74,2,2017,1,1,2,1,2020,9,2020,9,2,,15,2,
"99-92-94-71","1329-001-01",1,70,1,2020,1,1,2,2,,,,,,,,,
"99-92-94-71","1329-001-01",1,71,10,2018,10,1,2,1,2020,11,2021,2,1,2,65,2,
"99-92-94-71","1329-001-01",1,72,2,2020,2020,1,2,2,,,,,,,,,
"99-92-94-71","1329-001-01",1,74,3,2019,2,1,2,1,2020,11,2021,1,1,2,24,1,6
"99-92-94-71","1329-001-01",1,75,4,2019,4,1,2,2,,,,,,,,,
"96-56-62-65","1331-001-01",1,71,10,2018,0,1,2,1,2020,6,2021,2,1,,50,2,
"96-56-62-65","1331-001-01",1,76,2,2020,0,1,2,2,,,,,,,,,
"02-10-68-03","1332-001-01",1,70,2,2021,2,1,2,2,,,,,,,,,
"02-10-68-03","1332-001-01",1,71,20,2018,2,1,2,1,2020,4,2021,2,1,2,20,2,
"02-10-68-03","1332-001-01",1,73,5,2009,0,2,,2,,,,,,,,,
"02-10-68-03","1332-001-01",1,74,1,2018,0,2,,1,2020,5,2020,12,1,2,30,2,
"14-23-99-91","1333-001-01",1,71,56,2016,20,2,,1,2020,5,2021,2,1,2,105,2,
"14-23-99-91","1333-001-01",1,74,5,2017,0,2,,1,2020,2,2021,2,1,2,40,2,
"14-23-99-91","1333-001-01",1,80,1,2009,0,2,,2,,,,,,,,,
"85-21-92-45","1348-001-01",1,73,2,2012,0,1,2,2,,,,,,,,,
"73-59-11-96","1399-001-01",1,71,20,2019,3,2,,1,2021,8,2021,9,1,4,35,2,
"73-59-11-96","1399-001-01",1,73,1,2010,0,2,,1,2020,12,2021,1,2,4,80,1,3
"73-59-11-96","1399-001-01",1,74,3,2021,3,2,,2,,,,,,,,,
"35-22-61-35","1401-001-01",3,71,4,2019,0,1,2,1,2021,9,2021,10,1,2,60,2,
"35-22-61-35","1401-001-01",3,73,1,2018,0,1,2,2,,,,,,,,,
"35-22-61-35","1401-001-01",3,74,2,2019,0,1,2,1,2021,5,2021,8,1,2,7,2,
"39-91-71-06","1403-001-01",2,71,6,2020,0,1,2,1,2020,9,2021,3,1,,45,2,
"30-62-71-96","1406-001-01",1,71,14,2019,0,2,,1,2020,1,2021,9,1,,105,2,
"30-62-71-96","1406-001-01",1,74,2,2020,0,2,,2,,,,,,,,,
"30-62-71-96","1406-001-01",1,80,1,2019,0,2,,2,,,,,,,,,
"92-41-29-59","1419-001-01",1,71,5,2020,5,1,2,2,,,,,,,,,
"92-41-29-59","1419-001-01",1,73,1,2010,0,1,2,2,,,,,,,,,
"59-62-66-41","1420-001-01",1,71,7,2020,7,1,2,2,,,,,,,,,
"59-62-66-41","1420-001-01",1,73,1,2018,0,2,,2,,,,,,,,,
"59-62-66-41","1420-001-01",1,74,5,2020,5,1,2,2,,,,,,,,,
"59-62-66-41","1420-001-01",1,76,1,2018,1,1,2,2,,,,,,,,,
"59-62-66-41","1420-001-01",1,98,1,2020,1,1,2,2,,,,,,,,,
"66-75-13-74","1421-001-01",1,71,40,2017,0,2,,1,2020,7,2020,12,1,,45,2,
"65-53-60-99","1425-001-01",1,71,4,2019,2,1,2,1,2020,9,2020,9,1,,30,2,
"65-53-60-99","1425-001-01",1,73,2,2002,0,1,2,1,2020,10,2020,12,1,,5,2,
"65-53-60-99","1425-001-01",1,80,2,2012,0,1,2,1,2020,12,2021,1,1,,5,1,5
"70-27-56-40","1439-001-01",1,73,20,1900,0,2,,2,,,,,,,,,
"79-50-93-44","1462-001-01",1,71,24,2015,5,1,2,1,2020,9,2021,1,2,,45,2,
"79-50-93-44","1462-001-01",1,80,2,2012,0,1,2,1,2020,10,2020,12,2,,4,2,
"20-57-87-38","1499-001-01",1,69,2,2020,2,1,2,2,,,,,,,,,
"20-57-87-38","1499-001-01",1,71,32,2020,5,1,2,1,2021,2,2021,3,1,2,8,2,
"20-57-87-38","1499-001-01",1,73,1,2020,1,1,2,2,,,,,,,,,
"20-57-87-38","1499-001-01",1,74,4,2018,3,1,2,1,2020,3,2020,6,1,2,19,2,
"20-57-87-38","1499-001-01",1,200,1,2020,2,1,2,2,,,,,,,,,
"16-62-97-48","1517-001-01",1,71,11,2018,3,1,2,1,2020,2,2020,3,1,,14,2,
"16-62-97-48","1517-001-01",1,74,17,2016,3,1,2,1,2020,4,2020,5,1,,10,2,
"16-62-97-48","1517-001-01",1,80,1,2018,0,1,2,2,,,,,,,,,
"16-62-97-48","1517-001-01",1,852,1,2010,0,1,2,2,,,,,,,,,
"35-70-97-65","1519-001-01",1,71,10,2013,0,2,,1,2020,2,2021,2,2,6,30,2,
"35-70-97-65","1519-001-01",1,72,2,2008,0,2,,2,,,,,,,,,
"91-84-66-99","1534-001-01",1,71,5,2005,3,1,2,1,2020,11,2020,11,1,6,20,2,
"91-84-66-99","1534-001-01",1,73,1,1999,0,2,,1,2020,12,2020,12,1,,50,2,
"91-84-66-99","1534-001-01",1,76,2,1999,0,2,,1,2020,7,2020,7,1,,100,2,
"88-91-41-19","1541-001-01",1,73,1,1900,0,1,2,1,2020,10,2020,11,2,,20,2,
"00-33-05-95","1551-001-01",1,69,2,2020,0,1,2,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,71,20,2013,3,1,2,1,2020,8,2020,12,1,,60,2,
"00-33-05-95","1551-001-01",1,72,1,2019,0,1,2,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,73,1,2018,0,1,2,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,74,6,2020,6,1,2,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,75,20,2020,20,1,2,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,76,3,2015,0,1,2,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,80,3,2018,0,1,2,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,851,1,2015,0,1,2,1,2020,10,2021,1,1,,35,1,3
"87-34-09-05","1553-001-03",1,74,4,2020,4,2,,2,,,,,,,,,
"18-78-78-83","1554-001-01",1,74,1,2019,0,1,2,1,2020,12,2020,12,1,,4,1,5
"72-28-96-80","1555-001-01",1,71,4,2020,1,1,2,1,2020,6,2020,6,2,,20,2,
"98-95-18-17","1556-001-01",1,71,16,2019,2,1,2,1,2020,11,2020,12,2,,40,2,
"87-14-18-77","1557-001-01",1,69,2,2019,1,1,2,2,,,,,,,,,
"87-14-18-77","1557-001-01",1,70,2,2020,2,1,2,2,,,,,,,,,
"87-14-18-77","1557-001-01",1,71,10,2016,3,1,2,1,2020,11,2020,11,1,2,10,2,
"87-14-18-77","1557-001-01",1,72,3,2020,3,1,2,2,,,,,,,,,
"87-14-18-77","1557-001-01",1,73,5,2012,0,2,,2,,,,,,,,,
"87-14-18-77","1557-001-01",1,74,6,2020,6,1,2,2,,,,,,,,,
"87-14-18-77","1557-001-01",1,76,6,2006,0,1,2,1,2020,9,2020,12,1,2,30,2,
"87-14-18-77","1557-001-01",1,80,5,2007,3,1,2,1,2020,11,2020,11,1,2,7,1,3
"87-14-18-77","1557-001-01",1,203,1,2001,0,2,,1,2020,11,2020,11,1,2,5,1,3
"87-14-18-77","1557-001-01",1,851,1,2001,0,2,,1,2020,9,2020,12,1,2,3,2,
"07-54-14-55","1559-001-01",1,71,33,2019,21,2,,1,2020,3,2020,11,2,,40,2,
"07-54-14-55","1559-001-01",1,73,3,2019,0,2,,2,,,,,,,,,
"07-54-14-55","1559-001-01",1,74,2,2019,0,2,,1,2020,2,2020,10,2,,15,2,
"07-54-14-55","1559-001-01",1,76,1,2020,1,2,,2,,,,,,,,,
"07-54-14-55","1559-001-01",1,80,2,2015,0,2,,1,2020,1,2020,12,2,,20,1,6
"07-54-14-55","1559-001-01",1,98,1,2020,1,2,,2,,,,,,,,,
"07-54-14-55","1559-001-01",1,852,1,2020,1,2,,2,,,,,,,,,
"07-54-14-55","1559-001-01",2,69,4,2020,4,1,2,2,,,,,,,,,
"07-54-14-55","1559-001-01",2,71,3,2020,3,1,2,2,,,,,,,,,
"07-54-14-55","1559-001-01",2,73,2,2010,0,1,2,2,,,,,,,,,
"07-54-14-55","1559-001-01",2,76,4,2014,0,1,2,2,,,,,,,,,
"47-27-91-78","1572-001-01",1,71,3,2013,0,1,2,1,2020,11,2021,10,1,2,45,2,
"47-27-91-78","1572-001-01",1,73,2,2018,1,1,2,2,,,,,,,,,
"28-18-07-54","1573-001-01",1,71,11,2018,4,1,2,1,2020,11,2021,10,1,2,638,2,
"62-89-22-61","1589-001-02",1,73,1,2015,0,2,,2,,,,,,,,,
"62-89-22-61","1589-001-02",1,74,2,2020,0,2,,2,,,,,,,,,
"62-89-22-61","1589-001-02",1,76,1,2018,0,2,,2,,,,,,,,,
"62-89-22-61","1589-001-02",1,200,4,2013,0,2,,2,,,,,,,,,
"72-09-12-51","1592-001-01",1,71,10,2017,0,1,2,1,2020,4,2020,11,1,2,30,2,
"72-09-12-51","1592-001-01",1,76,1,1919,0,1,2,2,,,,,,,,,
"72-09-12-51","1592-001-01",1,852,1,2017,0,1,2,1,2020,12,2021,1,1,2,15,2,
"26-44-95-55","1594-001-01",1,69,1,2012,0,2,,1,2020,5,2020,5,2,,30,2,
"26-44-95-55","1594-001-01",1,71,12,2020,12,1,2,1,2021,1,2021,1,2,,15,2,
"26-44-95-55","1594-001-01",1,73,1,2015,1,2,,2,,,,,,,,,
"26-44-95-55","1594-001-01",1,74,4,2016,0,2,,1,2020,8,2020,11,2,,50,1,1
"26-44-95-55","1594-001-01",1,76,1,2020,1,2,,2,,,,,,,,,
"26-44-95-55","1594-001-01",1,78,1,2019,0,2,,2,,,,,,,,,
"26-44-95-55","1594-001-01",1,80,3,2016,0,2,,2,,,,,,,,,
"26-44-95-55","1594-001-01",1,98,1,2015,0,2,,1,2020,10,2020,11,2,,5,2,
"26-44-95-55","1594-001-01",1,200,1,2017,0,2,,2,,,,,,,,,
"26-44-95-55","1594-001-01",1,852,1,2017,0,2,,2,,,,,,,,,
"00-17-71-97","1596-001-01",1,69,6,1998,0,1,2,1,2020,9,2021,8,1,2,150,1,3
"00-17-71-97","1596-001-01",1,71,73,2017,660,1,2,1,2020,9,2021,8,1,2,2944,1,2
"00-17-71-97","1596-001-01",1,72,8,1995,0,1,2,1,2020,9,2021,8,1,2,700,1,2
"00-17-71-97","1596-001-01",1,73,15,1990,0,1,2,1,2021,2,2021,5,1,2,520,1,2
"00-17-71-97","1596-001-01",1,74,4,2017,0,1,2,1,2020,9,2021,8,1,2,150,2,
"00-17-71-97","1596-001-01",1,76,4,2017,0,2,,1,2021,4,2021,6,1,2,130,1,5
"00-17-71-97","1596-001-01",1,79,10,1998,0,1,2,1,2021,4,2021,7,1,2,440,1,5
"00-17-71-97","1596-001-01",1,80,10,1998,0,1,2,1,2021,4,2021,7,1,2,550,1,2
"00-17-71-97","1596-001-01",1,98,2,2000,0,1,2,1,2020,9,2021,8,1,2,80,1,3
"00-17-71-97","1596-001-01",1,200,4,2000,0,1,2,2,,,,,,,,,
"00-17-71-97","1596-001-01",1,203,5,1995,0,1,2,1,2020,10,2020,12,1,2,140,1,1
"00-17-71-97","1596-001-01",1,205,4,2000,0,1,2,2,,,,,,,,,
"00-17-71-97","1596-001-01",1,851,2,1998,0,1,2,2,,,,,,,,,
"00-17-71-97","1596-001-01",1,852,2,1998,0,1,2,1,2020,9,2021,8,1,2,78,2,
"00-17-71-97","1596-001-01",1,998,2,1986,0,1,2,1,2020,9,2021,8,1,2,20,1,1
"96-96-70-93","1613-001-01",1,71,18,2018,0,2,,1,2020,5,2021,1,1,2,14,2,
"96-96-70-93","1613-001-01",1,74,2,2021,2,2,,2,,,,,,,,,
"26-30-52-40","1614-001-01",1,71,22,2019,0,2,,1,2020,11,2020,11,2,,30,2,
"26-30-52-40","1614-001-01",1,73,1,1990,0,2,,1,2020,11,2020,12,2,,0,1,5
"26-30-52-40","1614-001-01",1,200,2,2004,0,2,,1,2020,10,2020,10,2,,5,2,
"73-64-90-48","1633-001-01",1,71,7,2015,0,2,,1,2020,10,2021,9,1,,46,1,4
"73-64-90-48","1633-001-01",1,74,1,2019,0,2,,1,2020,10,2021,9,1,,171,2,
"73-64-90-48","1633-001-01",1,76,1,2004,0,2,,2,,,,,,,,,
"11-50-31-53","1651-001-01",1,69,1,2019,0,1,2,2,,,,,,,,,
"11-50-31-53","1651-001-01",1,71,42,2019,2,1,2,2,,,,,,,,,
"11-50-31-53","1651-001-01",1,72,1,2019,0,1,2,2,,,,,,,,,
"11-50-31-53","1651-001-01",1,73,2,2019,0,1,2,2,,,,,,,,,
"11-50-31-53","1651-001-01",1,74,5,2019,0,1,2,2,,,,,,,,,
"11-50-31-53","1651-001-01",1,75,20,2019,0,1,2,2,,,,,,,,,
"92-25-23-25","1704-001-05",1,71,35,1900,0,2,,1,2020,8,2020,11,5,8,60,2,
"22-38-66-35","1705-001-01",1,70,12,2019,6,1,2,1,2020,7,2021,1,1,,20,1,3
"22-38-66-35","1705-001-01",1,71,130,2000,0,1,2,1,2020,6,2021,1,1,,276,1,1
"22-38-66-35","1705-001-01",1,72,3,2020,2,1,2,2,,,,,,,,,
"22-38-66-35","1705-001-01",1,73,10,2016,0,1,2,1,2020,10,2021,1,1,,300,1,3
"22-38-66-35","1705-001-01",1,74,7,2017,0,1,2,1,2020,7,2021,1,1,,85,1,1
"22-38-66-35","1705-001-01",1,75,30,2019,0,1,2,1,2020,8,2020,10,1,,1500,2,
"22-38-66-35","1705-001-01",1,76,3,2019,0,1,2,2,,,,,,,,,
"22-38-66-35","1705-001-01",1,80,3,2019,0,1,2,2,,,,,,,,,
"22-38-66-35","1705-001-01",1,200,21,2020,21,1,2,2,,,,,,,,,
"22-38-66-35","1705-001-01",1,203,12,2000,0,1,2,2,,,,,,,,,
"22-38-66-35","1705-001-01",1,851,2,2019,0,1,2,2,,,,,,,,,
"59-65-56-21","1707-001-01",1,71,1,2021,0,1,2,2,,,,,,,,,
"59-65-56-21","1707-001-01",1,73,2,2020,2,1,2,2,,,,,,,,,
"59-65-56-21","1707-001-01",1,74,4,2020,4,1,2,2,,,,,,,,,
"59-65-56-21","1707-001-01",1,76,4,2020,4,1,2,2,,,,,,,,,
"59-65-56-21","1707-001-01",1,80,2,2020,2,1,2,2,,,,,,,,,
"97-86-60-25","1709-001-01",1,69,2,2018,0,2,,2,,,,,,,,,
"97-86-60-25","1709-001-01",1,71,42,2018,0,2,,1,2020,2,2020,12,1,,180,2,
"97-86-60-25","1709-001-01",1,72,3,2018,0,2,,2,,,,,,,,,
"97-86-60-25","1709-001-01",1,73,2,2016,0,2,,2,,,,,,,,,
"97-86-60-25","1709-001-01",1,74,8,2019,2,2,,1,2020,1,2020,12,1,,150,2,
"97-86-60-25","1709-001-01",1,75,10,2019,0,2,,1,2020,6,2020,6,1,,40,2,
"97-86-60-25","1709-001-01",1,76,3,2018,0,2,,2,,,,,,,,,
"97-86-60-25","1709-001-01",1,851,2,2018,0,2,,2,,,,,,,,,
"63-97-16-08","1725-001-01",1,70,1,2021,1,1,2,2,,,,,,,,,
"63-97-16-08","1725-001-01",1,71,20,2020,15,1,2,1,2020,4,2020,12,1,,150,2,
"63-97-16-08","1725-001-01",1,72,1,2020,1,1,2,2,,,,,,,,,
"63-97-16-08","1725-001-01",1,73,1,2020,1,1,2,2,,,,,,,,,
"63-97-16-08","1725-001-01",1,74,5,2019,0,2,,1,2020,5,2020,10,1,,30,1,2
"63-97-16-08","1725-001-01",1,75,1,2018,0,2,,2,,,,,,,,,
"63-97-16-08","1725-001-01",1,80,1,2017,0,2,,1,2020,8,2020,12,1,,10,2,
"63-97-16-08","1725-001-01",1,200,3,2020,3,1,2,2,,,,,,,,,
"63-97-16-08","1725-001-01",1,851,1,2020,1,1,2,2,,,,,,,,,
"54-10-69-38","1733-001-01",1,76,100,1900,0,2,,2,,,,,,,,,
"30-07-10-44","1744-001-02",1,71,10,2019,3,2,,1,2021,1,2021,1,1,2,60,2,
"99-84-02-40","1764-001-01",1,70,1,2020,1,1,2,1,2021,1,2021,1,2,,3,2,
"99-84-02-40","1764-001-01",1,71,35,2019,0,1,2,1,2020,11,2020,11,2,,20,2,
"99-84-02-40","1764-001-01",1,72,1,2019,0,1,2,2,,,,,,,,,
"99-84-02-40","1764-001-01",1,73,5,2018,0,2,,2,,,,,,,,,
"99-84-02-40","1764-001-01",1,74,1,2019,0,2,,1,2020,10,2021,1,2,,25,2,
"46-39-86-17","1765-001-01",1,71,180,2019,0,2,,1,2020,5,2021,1,1,,40,2,
"46-39-86-17","1765-001-01",2,71,30,2021,30,2,,2,,,,,,,,,
"17-64-18-79","1768-001-01",3,71,4,2019,0,2,,2,,,,,,,,,
"17-64-18-79","1768-001-01",3,73,1,2016,0,2,,2,,,,,,,,,
"76-34-61-71","1779-001-01",1,73,2,2004,0,2,,1,2020,12,2021,1,1,,120,2,
"76-34-61-71","1779-001-01",1,74,2,2016,0,2,,1,2020,3,2020,9,1,,40,1,1
"97-53-95-82","1780-001-01",1,71,8,2019,1,2,,2,,,,,,,,,
"70-69-92-64","1783-001-01",1,71,29,2019,0,2,,1,2020,8,2021,10,2,,156,2,
"94-30-16-27","1784-001-01",2,71,4,2019,0,1,2,2,,,,,,,,,
"11-59-35-06","1785-001-03",1,71,1,2021,1,2,,2,,,,,,,,,
"36-49-19-37","1786-001-01",1,73,3,2015,0,2,,1,2020,12,2021,1,1,,60,2,
"96-34-88-55","1800-001-01",4,71,3,2019,3,2,,2,,,,,,,,,
"76-08-90-56","1802-001-01",1,74,4,2019,3,2,,1,2020,5,2020,8,1,2,50,2,
"03-14-29-97","1820-001-01",1,38,1,2010,0,2,,1,2020,11,2021,2,1,,30,1,3
"03-14-29-97","1820-001-01",1,39,1,2021,1,2,,2,,,,,,,,,
"03-14-29-97","1820-001-01",1,72,1,2016,0,2,,1,2020,12,2021,1,1,,30,1,1
"03-14-29-97","1820-001-01",1,73,6,1999,0,2,,1,2020,11,2021,1,1,,70,1,1
"03-14-29-97","1820-001-01",1,76,2,2008,0,2,,1,2020,12,2021,1,1,,50,1,3
"03-14-29-97","1820-001-01",1,80,1,2005,0,2,,1,2020,11,2020,12,1,,25,1,1
"03-14-29-97","1820-001-01",1,852,2,2010,0,2,,1,2020,10,2020,12,1,,35,2,
"03-14-29-97","1820-001-01",1,998,1,2010,0,2,,1,2020,10,2020,12,1,,40,2,
"70-84-46-34","1838-001-01",1,73,1,2009,0,2,,1,2020,1,2020,12,1,,140,1,5
"70-84-46-34","1838-001-01",1,74,1,2009,0,2,,2,,,,,,,,,
"65-72-55-00","1840-001-01",1,74,2,2018,2,2,,1,2020,5,2020,6,1,,46,2,
"65-72-55-00","1840-001-01",2,80,1,2002,0,2,,1,2020,6,2020,7,1,,15,2,
"49-42-19-85","1841-001-01",3,74,12,2017,0,2,,1,2019,10,2020,2,1,2,95,1,1
"49-86-16-68","1843-001-01",3,73,6,1900,0,1,2,1,2020,10,2020,12,1,2,500,1,5
"49-86-16-68","1843-001-01",3,203,1,2015,0,2,,1,2020,11,2020,12,1,2,60,2,
"93-67-94-86","1860-001-03",1,73,1,2020,1,2,,2,,,,,,,,,
"33-06-24-68","1874-001-01",1,71,96,2010,40,1,2,1,2020,1,2020,12,1,2,280,1,4
"32-28-64-63","1875-001-01",1,71,15,2017,0,2,,1,2020,4,2020,8,1,,60,2,
"32-28-64-63","1875-001-01",3,73,7,2005,3,1,2,1,2020,11,2021,1,1,,1040,1,3
"58-08-38-13","1875-001-03",1,73,3,1900,0,2,,1,2019,12,2020,1,1,,50,1,3
"15-55-16-65","1876-001-02",1,71,6,2021,0,1,2,2,,,,,,,,,
"15-55-16-65","1876-001-02",1,72,1,2018,0,2,,1,2020,5,2020,5,2,,20,1,3
"15-55-16-65","1876-001-02",1,73,7,2001,0,1,2,1,2020,11,2020,12,2,,60,1,3
