"interview__key","y5_hhid","cropid","ag7a_02","ag7a_03","ag7a_04","ag7a_05_1","ag7a_05_2","ag7a_06_1","ag7a_06_2","ag7a_07_1a","ag7a_07_1b","ag7a_07_2a","ag7a_07_2b","ag7a_08","ag7a_09","ag7a_10","ag7a_11","ag7a_12","ag7a_13","ag7a_14","ag7a_15","ag7a_16","ag7a_17","ag7a_18","ag7a_19","ag7a_20","ag7a_21"
"02-10-68-03","1332-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,15,0,0,5,0
"02-10-68-03","1332-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,10,0
"14-23-99-91","1333-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,105,0,0,0,0
"14-23-99-91","1333-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"73-59-11-96","1399-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,35,0,0,0,0
"73-59-11-96","1399-001-01",73,2,,,,,,,,,,,2,,,,,1,2,10,2000,70,0,0,0,0
"35-22-61-35","1401-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"35-22-61-35","1401-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,7,0,0,0,0
"39-91-71-06","1403-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,45,0,0,0,0
"30-62-71-96","1406-001-01",71,2,,,,,,,,,,,1,5,1,2,,2,,,,97,0,0,8,1
"66-75-13-74","1421-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,45,0,0,0,0
"65-53-60-99","1425-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,20,0
"65-53-60-99","1425-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"65-53-60-99","1425-001-01",80,2,,,,,,,,,,,2,,,,,1,4,1,3000,4,0,0,0,0
"79-50-93-44","1462-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,45,0,0,0,0
"79-50-93-44","1462-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,4,0,0,0,0
"20-57-87-38","1499-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,8,0,0,0,0
"20-57-87-38","1499-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,19,0,0,0,0
"16-62-97-48","1517-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,14,0,0,0,0
"16-62-97-48","1517-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,0,0
"35-70-97-65","1519-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"91-84-66-99","1534-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"91-84-66-99","1534-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,10,0
"91-84-66-99","1534-001-01",76,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,30,0
"88-91-41-19","1541-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"00-33-05-95","1551-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"00-33-05-95","1551-001-01",851,2,,,,,,,,,,,2,,,,,2,,,,35,0,0,0,0
"18-78-78-83","1554-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,4,0,0,0,0
"72-28-96-80","1555-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"98-95-18-17","1556-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"87-14-18-77","1557-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,0,0
"87-14-18-77","1557-001-01",76,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,10,0
"87-14-18-77","1557-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,7,0,0,0,0
"87-14-18-77","1557-001-01",203,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"87-14-18-77","1557-001-01",851,2,,,,,,,,,,,2,,,,,2,,,,3,0,0,0,0
"07-54-14-55","1559-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"07-54-14-55","1559-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"07-54-14-55","1559-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"47-27-91-78","1572-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,45,0,0,0,0
"28-18-07-54","1573-001-01",71,1,128,200000,1,2,1,2,2,1,0,,2,,,,,2,,,,383,0,0,127,0
"72-09-12-51","1592-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"72-09-12-51","1592-001-01",852,2,,,,,,,,,,,2,,,,,2,,,,8,0,0,7,0
"26-44-95-55","1594-001-01",69,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"26-44-95-55","1594-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,15,0,0,0,0
"26-44-95-55","1594-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,35,0,0,15,0
"26-44-95-55","1594-001-01",98,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"00-17-71-97","1596-001-01",69,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,125,0
"00-17-71-97","1596-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,1104,0,0,1380,460
"00-17-71-97","1596-001-01",72,2,,,,,,,,,,,2,,,,,2,,,,140,0,0,280,280
"00-17-71-97","1596-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,420,0
"00-17-71-97","1596-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,110,0,0,40,0
"00-17-71-97","1596-001-01",76,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,90,0
"00-17-71-97","1596-001-01",79,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,320,0
"00-17-71-97","1596-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,90,0,0,460,0
"00-17-71-97","1596-001-01",98,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,60,0
"00-17-71-97","1596-001-01",203,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,60,0
"00-17-71-97","1596-001-01",852,2,,,,,,,,,,,2,,,,,2,,,,58,0,0,20,0
"00-17-71-97","1596-001-01",998,2,,,,,,,,,,,2,,,,,2,,,,0,0,0,20,0
"96-96-70-93","1613-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,14,0,0,0,0
"26-30-52-40","1614-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"26-30-52-40","1614-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,0,0,0,0,0
"26-30-52-40","1614-001-01",200,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"73-64-90-48","1633-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,46,0,0,0,0
"73-64-90-48","1633-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,171,0,0,0,0
"92-25-23-25","1704-001-05",71,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"22-38-66-35","1705-001-01",70,1,10,15000,1,,1,,9,1,0,,2,,,,,2,,,,10,0,0,0,0
"22-38-66-35","1705-001-01",71,1,84,42000,1,,1,,2,1,2,1,2,,,,,2,,,,192,0,0,0,0
"22-38-66-35","1705-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,0,0
"22-38-66-35","1705-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,85,0,0,0,0
"22-38-66-35","1705-001-01",75,2,,,,,,,,,,,2,,,,,2,,,,1500,0,0,0,0
"97-86-60-25","1709-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,180,0,0,0,0
"97-86-60-25","1709-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,50,0
"97-86-60-25","1709-001-01",75,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"63-97-16-08","1725-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,140,0,0,10,0
"63-97-16-08","1725-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"63-97-16-08","1725-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,0,0
"30-07-10-44","1744-001-02",71,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"99-84-02-40","1764-001-01",70,2,,,,,,,,,,,2,,,,,2,,,,3,0,0,0,0
"99-84-02-40","1764-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"99-84-02-40","1764-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,0,0
"46-39-86-17","1765-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"76-34-61-71","1779-001-01",73,1,100,40000,1,,1,,16,3,16,3,2,,,,,2,,,,20,0,0,0,0
"76-34-61-71","1779-001-01",74,2,,,,,,,,,,,2,,,,,1,4,3,6000,25,0,0,10,0
"70-69-92-64","1783-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,156,0,0,0,0
"36-49-19-37","1786-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"76-08-90-56","1802-001-01",74,1,50,3500,1,2,1,2,3,1,2,1,2,,,,,2,,,,0,90,0,0,0
"03-14-29-97","1820-001-01",38,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,5,0
"03-14-29-97","1820-001-01",72,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,6,4
"03-14-29-97","1820-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,20,10
"03-14-29-97","1820-001-01",76,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,20,0
"03-14-29-97","1820-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,15,0,0,7,3
"03-14-29-97","1820-001-01",852,1,20,15000,1,,1,,4,1,4,1,2,,,,,2,,,,7,0,0,8,0
"03-14-29-97","1820-001-01",998,1,30,50000,1,,1,,2,1,2,1,2,,,,,2,,,,7,0,0,3,0
"70-84-46-34","1838-001-01",73,2,,,,,,,,,,,2,,,,,1,1,1,500,100,0,0,40,0
"65-72-55-00","1840-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,0,0,0,0,0
"65-72-55-00","1840-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,0,0,0,0,0
"49-42-19-85","1841-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,15,0
"49-86-16-68","1843-001-01",73,1,200,60000,1,2,1,2,11,2,9,2,2,,,,,1,4,2,10000,200,0,0,100,0
"49-86-16-68","1843-001-01",203,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"33-06-24-68","1874-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,280,0,0,0,0
"32-28-64-63","1875-001-01",71,1,60,20000,1,,1,,4,1,4,1,2,,,,,2,,,,45,0,0,0,0
"32-28-64-63","1875-001-01",73,2,,,,,,,,,,,2,,,,,1,1,5,10000,520,0,0,0,0
"58-08-38-13","1875-001-03",73,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"15-55-16-65","1876-001-02",72,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"15-55-16-65","1876-001-02",73,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"15-55-16-65","1876-001-02",74,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"15-55-16-65","1876-001-02",76,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"41-83-97-52","1877-001-02",71,2,,,,,,,,,,,2,,,,,2,,,,315,0,0,200,0
"41-83-97-52","1877-001-02",73,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,20,0
"41-83-97-52","1877-001-02",74,2,,,,,,,,,,,2,,,,,2,,,,18,0,0,0,0
"08-43-62-70","1893-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,84,0,0,0,0
"30-76-58-55","1898-001-01",72,2,,,,,,,,,,,2,,,,,1,1,2,20000,140,0,0,0,0
"18-03-93-66","1913-001-01",76,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,40,0
"72-94-88-22","1916-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,160,0,0,20,0
"72-94-88-22","1916-001-01",72,1,300,150000,1,2,1,2,16,1,16,1,2,,,,,1,1,1,20000,70,0,0,30,0
"72-94-88-22","1916-001-01",76,1,200,100000,1,2,1,2,16,1,16,1,2,,,,,2,,,,80,0,0,20,0
"41-59-30-52","1917-001-01",998,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,0,0
"51-16-84-33","1932-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,50,0
"51-16-84-33","1932-001-01",76,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"51-16-84-33","1932-001-01",79,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"53-04-56-80","1932-001-02",71,2,,,,,,,,,,,2,,,,,2,,,,34,0,0,0,0
"55-83-06-85","1932-001-04",73,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,0,0
"41-12-45-18","1933-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,150,0,0,0,0
"66-14-94-18","1935-001-01",73,2,,,,,,,,,,,2,,,,,1,1,1,5000,150,0,0,50,0
"66-14-94-18","1935-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"66-14-94-18","1935-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,10,0
"56-51-57-98","1936-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,1080,0,0,0,0
"58-41-33-74","1936-001-02",73,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,40,0
"58-41-33-74","1936-001-02",80,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,10,0
"20-27-84-75","1936-001-04",38,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,0,0
"20-27-84-75","1936-001-04",73,2,,,,,,,,,,,2,,,,,2,,,,400,0,0,80,0
"20-27-84-75","1936-001-04",74,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"20-27-84-75","1936-001-04",76,2,,,,,,,,,,,2,,,,,2,,,,75,0,0,0,0
"98-18-22-89","1937-001-02",71,2,,,,,,,,,,,2,,,,,2,,,,54,0,0,0,0
"98-18-22-89","1937-001-02",73,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,80,0
"12-92-55-03","1938-001-01",70,2,,,,,,,,,,,2,,,,,2,,,,2,0,0,0,0
"12-92-55-03","1938-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,390,0,0,0,0
"05-92-83-74","1938-001-02",69,2,,,,,,,,,,,2,,,,,2,,,,7,0,0,0,0
"05-92-83-74","1938-001-02",71,2,,,,,,,,,,,2,,,,,2,,,,720,0,0,0,0
"05-92-83-74","1938-001-02",72,1,300,20000,1,2,1,2,2,1,2,2,2,,,,,2,,,,150,0,0,0,0
"05-92-83-74","1938-001-02",73,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,0,0
"05-92-83-74","1938-001-02",74,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,0,0
"05-92-83-74","1938-001-02",80,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"80-22-16-23","1951-001-02",73,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,180,0
"81-77-28-59","1955-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,15,0
"81-77-28-59","1955-001-01",72,2,,,,,,,,,,,2,,,,,2,,,,18,0,0,9,0
"81-77-28-59","1955-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,11,0,0,0,0
"58-50-67-67","1971-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,150,0
"58-50-67-67","1971-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,40,0
"64-52-68-60","1972-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"64-52-68-60","1972-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"25-96-98-14","1988-001-07",71,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,25,0
"25-96-98-14","1988-001-07",72,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,30,0
"25-96-98-14","1988-001-07",80,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,10,0
"25-96-98-14","1988-001-07",81,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,10,0
"08-18-13-46","1989-001-01",84,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"28-97-65-63","1994-001-01",204,1,36,12000,2,,2,,16,1,16,1,2,,,,,2,,,,25,0,0,11,0
"28-97-65-63","1994-001-01",852,2,,,,,,,,,,,2,,,,,2,,,,8,0,0,4,0
"86-15-44-91","1994-001-03",70,1,60,18000,1,2,1,2,16,1,16,1,2,,,,,2,,,,60,0,0,40,0
"86-15-44-91","1994-001-03",72,2,,,,,,,,,,,2,,,,,1,1,2,10000,25,0,0,15,0
"86-15-44-91","1994-001-03",80,1,36,10000,1,2,1,2,16,1,2,1,2,,,,,2,,,,54,0,0,10,0
"86-15-44-91","1994-001-03",200,1,25,15000,1,2,1,2,2,1,2,1,2,,,,,2,,,,21,14,0,0,0
"86-15-44-91","1994-001-03",203,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,20,0
"23-38-07-81","2008-001-01",204,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"28-82-13-87","2014-001-01",84,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"95-44-14-69","2014-001-02",84,2,,,,,,,,,,,2,,,,,2,,,,15,0,0,0,0
"83-09-48-58","2029-001-01",73,1,1500,100000,1,2,1,2,16,3,16,2,2,,,,,1,1,1,20000,150,0,0,100,50
"68-75-40-96","2033-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,0,0
"62-61-78-73","2046-001-01",72,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,0,0
"62-61-78-73","2046-001-01",84,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"51-19-63-66","2048-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,130,0,0,0,0
"68-42-20-72","2049-001-01",204,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"97-07-45-24","2051-001-01",204,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,20,0
"71-98-45-44","2052-001-01",204,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"94-12-64-07","2064-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,300,0
"17-99-58-67","2065-001-01",70,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,0,0
"17-99-58-67","2065-001-01",71,1,120,30000,1,2,1,2,4,1,4,1,2,,,,,2,,,,2760,0,0,0,0
"17-99-58-67","2065-001-01",72,1,100,8000,1,2,1,2,9,2,9,2,2,,,,,2,,,,200,0,0,0,0
"17-99-58-67","2065-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,400,0,0,0,0
"17-99-58-67","2065-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,0,0
"77-92-16-67","2066-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,12884,0,0,240,0
"77-92-16-67","2066-001-01",72,2,,,,,,,,,,,2,,,,,1,1,3,10000,90,0,0,0,0
"66-38-93-89","2067-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,0,0
"35-93-00-79","2068-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,0,0
"35-93-00-79","2068-001-01",72,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"53-91-30-09","2069-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,1360,0,0,215,0
"98-95-98-62","2070-001-01",71,1,300,150000,1,2,1,2,3,1,3,1,2,,,,,2,,,,600,0,0,0,0
"13-66-67-95","2072-001-01",71,1,50,15000,1,,1,,9,1,9,1,2,,,,,2,,,,50,0,0,50,0
"13-66-67-95","2072-001-01",72,2,,,,,,,,,,,2,,,,,1,1,2,5000,35,0,0,0,0
"13-66-67-95","2072-001-01",73,2,,,,,,,,,,,2,,,,,1,1,3,4000,30,0,0,0,0
"13-66-67-95","2072-001-01",75,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,5,0
"24-27-78-93","2083-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,540,0,0,0,0
"24-27-78-93","2083-001-01",72,1,300,30000,2,,2,,16,1,16,1,2,,,,,2,,,,100,0,0,20,0
"24-27-78-93","2083-001-01",73,1,500,100000,2,,2,,16,1,16,1,2,,,,,2,,,,70,0,0,30,0
"24-27-78-93","2083-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,48,0,0,0,0
"51-49-82-49","2083-001-03",73,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,30,0
"73-25-52-85","2085-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,470,0,0,0,0
"73-25-52-85","2085-001-01",72,1,50,15000,1,2,1,2,2,1,2,1,2,,,,,2,,,,35,0,0,0,0
"50-36-50-82","2086-001-01",72,1,140,12000,1,,1,2,16,1,16,1,2,,,,,2,,,,40,0,0,0,0
"50-36-50-82","2086-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"92-24-01-44","2088-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,1300,0,0,0,0
"92-24-01-44","2088-001-01",72,1,280,20000,1,,1,,9,1,9,1,2,,,,,2,,,,140,0,0,0,0
"92-24-01-44","2088-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,130,0,0,0,0
"31-32-30-42","2089-001-01",71,1,480,120000,1,,1,,16,1,16,1,2,,,,,2,,,,500,0,0,220,0
"31-32-30-42","2089-001-01",72,1,150,50000,1,,1,,9,1,16,1,2,,,,,2,,,,80,0,0,70,0
"31-32-30-42","2089-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,40,0
"31-32-30-42","2089-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"31-32-30-42","2089-001-01",81,2,,,,,,,,,,,2,,,,,2,,,,3,0,0,0,0
"31-32-30-42","2089-001-01",205,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"52-18-39-52","2090-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,0,0
"73-31-47-95","2102-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,250,0,0,0,0
"02-38-53-95","2103-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,1500,0,0,0,0
"02-38-53-95","2103-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,130,0,0,0,0
