"interview__key","y5_hhid","plot_id","cropid","ag4b_01","ag4b_02","ag4b_03","ag4b_04","ag4b_05","ag4b_06","ag4b_08","ag4b_10_1","ag4b_10_2","ag4b_10a_1","ag4b_10a_2","ag4b_10b","ag4b_10c_1","ag4b_10c_2","ag4b_12","ag4b_13_1","ag4b_13_2","ag4b_17","ag4b_18","ag4b_19","ag4b_20","ag4b_21","ag4b_22","ag4b_23","ag4b_24_1","ag4b_24_2","ag4b_25","ag4b_26","ag4b_27","ag4b_28","ag4b_29","ag4b_30_1","ag4b_30_2"
"46-39-86-17","1765-001-01",1,22,1,,,2,,"VIAZI VITAMU",2,100,1,0,,,0,,,,,1,5,1,,1,2,,5,5,1,,,250,250000,1,
"88-80-90-94","1766-001-01",1,22,2,2,3,2,,"MBEGU ZA ASILI",2,7,1,7,1,2,0,,,,,2,,1,,0.2,2,,9,10,1,,,80,61000,1,
"33-06-24-68","1874-001-01",1,11,2,2,1,1,2,"MBEGU ZA KIENYEJI",2,12,1,0,,,12,1,20000,3,1,1,3,1,,1.5,2,,3,3,1,,,216,30000,1,2
"32-28-64-63","1875-001-01",3,11,1,,,2,,"LIBANGU",2,5,1,5,1,2,0,,,,,2,,1,,2,2,,2,2,1,,,540,250000,1,
"32-28-64-63","1875-001-01",5,11,2,2,4,1,2,"LIBANGU",2,2,1,2,1,2,0,,,,,2,,1,,0.25,2,,2,2,1,,,108,50000,5,
"32-28-64-63","1875-001-01",5,31,2,2,4,1,2,"MAHARAGE YA NJANO",2,2,1,0,,,2,1,4000,4,1,2,,1,,0.25,2,,2,2,1,,,20,30000,5,
"58-08-38-13","1875-001-03",1,11,1,,,2,,"DK",1,2,1,0,,,2,1,12000,9,1,2,,1,,0.5,2,,1,2,1,,,300,165000,1,
"58-08-38-13","1875-001-03",2,12,1,,,2,,"SUPER",3,23,1,0,,,23,1,20000,4,1,2,,1,,0.5,2,,4,4,1,,,525,315000,1,
"62-29-93-46","1875-001-07",1,11,1,,,2,,"MBEGU YA ASILI",2,2,1,0,,,2,1,2000,4,1,2,,1,,1,2,,2,2,1,,,648,240000,1,
"15-55-16-65","1876-001-02",1,11,1,,,1,2,"MBEGU YA ASILI YA MAHINDI",2,20,1,20,1,2,0,,,,,1,3,1,,2,1,4,2,2,1,,,300,70000,2,
"41-83-97-52","1877-001-02",1,11,1,,,1,3,"SEEDCO",1,1,1,0,,,1,1,6500,9,2,2,,1,,0.25,2,,1,1,1,,,100,50000,1,
"41-83-97-52","1877-001-02",2,11,1,,,2,,"SEEDCO",1,3,1,0,,,3,1,19500,9,2,2,,1,,2,2,,1,2,1,,,600,300000,1,
"41-83-97-52","1877-001-02",3,11,1,,,1,3,"SEEDCO",1,1,1,0,,,1,1,6500,9,2,2,,1,,0.13,2,,1,1,1,,,120,60000,1,
"14-35-65-81","1877-001-04",3,11,1,,,1,2,"MBEGU YA ASILI",2,10,1,10,1,2,0,,,,,2,,1,,1.5,2,,1,2,1,,,600,150000,11,
"14-35-65-81","1877-001-04",3,31,1,,,1,2,"ASILI",2,10,1,10,1,2,0,,,,,2,,1,,1.5,2,,1,2,1,,,240,360000,11,
"69-30-51-52","1879-001-01",1,11,1,,,2,,"KIENYEJI",2,1,1,0,,,1,1,1500,4,1,2,,1,,0.3,1,2,2,2,1,,,120,45000,2,
"69-30-51-52","1879-001-01",2,12,1,,,2,,"KIENYEJI",2,10,1,0,,,10,1,3000,4,1,2,,1,,0.5,1,4,2,2,1,,,140,49000,2,
"08-43-62-70","1893-001-01",1,11,2,3,1,1,2,"MBEGU ZA KIENYEJI",2,5,1,0,,,5,1,10000,3,1,1,3,1,,0.45,2,,3,3,1,,,378,35000,1,2
"08-43-62-70","1893-001-01",3,11,2,2,1,1,2,"MBEGU ZA KIENYEJI",2,12,1,0,,,12,1,15000,4,1,1,3,1,,1,2,,3,3,1,,,540,35000,1,2
"79-60-26-09","1896-001-01",4,11,2,1,1,1,2,"DECABO",1,20,1,0,,,20,1,120000,4,1,2,,1,,4,2,,2,3,1,,,864,320000,1,
"79-60-26-09","1896-001-01",4,31,2,1,1,1,2,"MAHARAGE YA NJANO",2,1,2,0,,,1,2,35000,4,1,1,3,1,,4,2,,2,3,1,,,20,35000,1,
"79-60-26-09","1896-001-01",4,43,2,1,1,2,,"MBEGU ZA KARANGA",2,2,2,2,2,2,0,,,,,2,,1,,2,2,,3,3,1,,,150,150000,1,
"72-94-88-22","1916-001-01",3,22,2,2,1,2,,"MBEGU ZA ASILI",2,80,1,80,1,2,0,,,,,2,,1,,0.5,2,,12,12,1,,,200,80000,1,2
"72-94-88-22","1916-001-01",4,22,1,,,2,,"MBEGU ZA ASILI",2,40,1,40,1,2,0,,,,,2,,1,,0.25,2,,12,12,1,,,100,20000,1,2
"55-83-06-85","1932-001-04",1,11,2,3,4,2,,"MBEGU YA ASILI",2,5,1,0,,,5,1,5000,2,1,2,,1,,0.75,2,,2,2,1,,,144,35000,1,
"41-12-45-18","1933-001-01",3,11,2,3,1,2,,"MBEGU YA ASILI",2,10,1,10,1,2,0,,,,,2,,1,,2,2,,2,2,1,,,324,90000,1,2
"66-14-94-18","1935-001-01",2,22,2,2,4,1,2,"MBEGU ZA ASILI",2,35,1,35,1,2,0,,,,,2,,1,,0.25,2,,12,12,1,,,300,24000,1,
"66-14-94-18","1935-001-01",2,31,2,1,4,1,2,"MBEGU ZA ASILI",2,2,1,0,,,2,1,4000,2,1,2,,1,,0.25,2,,11,11,1,,,20,40000,1,
"56-51-57-98","1936-001-01",1,11,2,3,1,2,,"MBEGU YA ASILI",2,20,1,20,1,2,0,,,,,2,,1,,2.5,2,,2,2,1,,,648,180000,1,
"56-51-57-98","1936-001-01",1,43,2,2,1,2,,"MBEGU YA ASILI",2,8,1,8,1,2,0,,,,,2,,1,,1.5,2,,2,3,1,,,252,90000,1,
"56-51-57-98","1936-001-01",2,11,2,3,1,2,,"MBEGU YA ASILI",2,20,1,20,1,2,0,,,,,2,,1,,3,2,,2,2,1,,,540,150000,1,
"56-51-57-98","1936-001-01",2,32,2,1,1,2,,"MBEGU YA ASILI",2,10,1,10,1,2,0,,,,,2,,1,,0.45,2,,1,1,1,,,80,48000,1,
"58-41-33-74","1936-001-02",1,11,2,2,1,2,,"MBEGU YA ASILI (KILIMA)",2,6,1,6,1,2,0,,,,,2,,1,,1.5,2,,3,3,1,,,648,180000,1,
"20-27-84-75","1936-001-04",1,11,1,,,2,,"DK",1,4,1,0,,,4,1,24000,16,2,2,,1,,1,2,,12,2,1,,,432,144000,1,
"20-27-84-75","1936-001-04",2,11,2,2,1,1,2,"MAREFU",2,8,1,8,1,2,0,,,,,2,,1,,1,2,,12,2,1,,,250,80000,1,
"20-27-84-75","1936-001-04",2,31,2,2,1,1,2,"NJANO",2,3,1,0,,,3,1,6000,5,2,2,,1,,1,2,,12,1,1,,,12,12000,1,
"20-27-84-75","1936-001-04",3,11,1,,,2,,"MAREFU",2,8,1,0,,,8,1,4800,16,2,2,,1,,1,2,,12,3,1,,,972,324000,1,
"12-92-55-03","1938-001-01",1,31,2,2,1,1,2,"MEUPE MADOGO",2,8,1,0,,,8,1,8000,4,2,2,,1,,0.25,2,,6,7,1,,,30,30000,1,2
"12-92-55-03","1938-001-01",1,43,2,2,1,1,2,"NYEKUNDU NDOGO",2,6,1,0,,,6,1,12000,4,2,2,,1,,0.25,2,,6,7,1,,,11,20000,1,2
"12-92-55-03","1938-001-01",2,31,2,2,1,1,2,"MEUPE MADOGO",2,8,1,0,,,8,1,8000,4,2,2,,1,,0.25,2,,6,7,1,,,30,30000,1,2
"12-92-55-03","1938-001-01",2,43,2,2,1,1,2,"NDOGO NYEKUNDU",2,7,1,0,,,7,1,14000,4,2,2,,1,,0.25,2,,4,4,1,,,11,20000,1,2
"05-92-83-74","1938-001-02",1,11,1,,,1,2,"SIDCO NA NYANDE",3,1.5,1,0,,,1.5,1,3000,2,1,1,5,1,,0.5,1,9,12,1,1,,,60,30000,1,2
"05-92-83-74","1938-001-02",1,22,2,1,1,1,2,"ASILI",2,120,1,120,1,2,0,,,,,2,,1,,0.25,1,9,6,8,1,,,300,72000,1,2
"29-60-24-00","1950-001-02",2,11,1,,,1,2,"SEED CO",3,4,1,4,1,3,0,,,,,1,3,1,,1,2,,3,3,1,,,480,120000,2,
"29-60-24-00","1950-001-02",2,31,1,,,1,2,"MAHARAGE YA NJANO",2,10,1,10,1,2,0,,,,,2,,1,,1,2,,3,3,1,,,80,100000,2,
"81-77-28-59","1955-001-01",1,11,2,3,3,2,,"PANNAR",1,16,1,0,,,16,1,52000,9,1,2,,1,,0.75,2,,1,2,1,,,432,120000,1,
"16-23-33-32","1957-001-01",1,11,1,,,2,,"SEED CO",1,2,1,0,,,2,1,15000,9,1,1,3,1,,0.5,2,,2,3,1,,,120,30000,1,
"17-99-58-67","2065-001-01",1,11,1,,,1,2,"KIENYEJI",2,2,1,2,1,2,0,,,,,2,,1,,2,2,,2,2,1,,,240,96000,1,2
"17-99-58-67","2065-001-01",1,31,1,,,1,2,"KIENYEJI",2,10,1,10,1,2,0,,,,,2,,1,,2,2,,2,2,1,,,80,80000,1,2
"77-92-16-67","2066-001-01",1,11,2,1,1,1,2,"SIDCO",3,5,1,5,1,3,0,,,,,2,,2,2,,,,,,,,,,,,
"77-92-16-67","2066-001-01",1,31,2,1,1,1,2,"WIFINYEGERA",2,25,1,25,1,2,0,,,,,2,,1,,0.25,2,,12,0,2,2,90,240,120000,1,
"77-92-16-67","2066-001-01",2,31,2,1,1,2,,"WIFINYEGERA",2,3,2,3,2,2,0,,,,,2,,2,2,,,,,,,,,,,,
"53-91-30-09","2069-001-01",1,11,1,,,1,2,"SIDCO",3,3,1,3,1,3,0,,,,,2,,2,2,,,,,,,,,,,,
"53-91-30-09","2069-001-01",1,31,1,,,1,2,"MAHARAGE YA MBEYA",3,1,2,1,2,3,0,,,,,2,,1,,0.25,2,,12,0,2,4,10,100,90000,1,
"53-91-30-09","2069-001-01",2,11,1,,,1,2,"SIDCO",3,3,1,3,1,3,0,,,,,2,,2,2,,,,,,,,,,,,
"53-91-30-09","2069-001-01",2,23,2,1,1,1,2,"MBEGU YA VIAZI MVIRINGO",2,2,2,0,,,2,2,14000,4,1,2,,1,,0.25,2,,10,0,2,1,90,200,36000,1,
"53-91-30-09","2069-001-01",2,31,1,,,1,2,"MAHARAGE YA MBEYA",3,1,2,1,2,3,0,,,,,2,,1,,1,2,,12,0,2,7,50,80,90000,1,
"98-95-98-62","2070-001-01",3,31,1,,,1,2,"MBEGU YA ASILI YA MAHARAGE",2,20,1,20,1,2,0,,,,,1,3,1,,0.5,1,4,1,1,1,,,80,27000,1,2
"13-66-67-95","2072-001-01",1,11,1,,,1,1,"KIENYEJI",2,3,1,3,1,2,0,,,,,2,,1,,0.5,2,,2,2,1,,,90,35000,1,
"13-66-67-95","2072-001-01",2,11,1,,,1,1,"3",2,3,1,3,1,2,0,,,,,2,,1,,0.5,2,,1,2,1,,,90,35000,1,
"24-27-78-93","2083-001-01",1,11,1,,,1,2,"MAHINDI",2,3,1,3,1,2,0,,,,,2,,1,,0.1,1,2,12,12,1,,,40,10000,2,
"24-27-78-93","2083-001-01",1,25,2,1,3,1,2,"MAGIMBI",2,20,5,0,,,0,,,,,2,,1,,0.1,2,,10,12,1,,,30,15000,2,
"24-27-78-93","2083-001-01",1,31,1,,,1,2,"MAHARAGE",2,1,5,1,5,2,0,,,,,2,,1,,0.1,1,2,12,12,1,,,50,37500,2,
"24-27-78-93","2083-001-01",2,11,1,,,1,2,"MAHINDI",2,1,1,1,1,2,0,,,,,2,,1,,0.1,1,2,12,12,1,,,60,15000,2,
"24-27-78-93","2083-001-01",2,31,1,,,1,2,"MAHARAGE",2,5,1,5,1,2,0,,,,,2,,1,,0.1,1,2,12,12,1,,,12,9000,2,
"51-49-82-49","2083-001-03",1,11,1,,,1,2,"MAHINDI",2,1,1,0,,,1,1,1500,4,1,1,5,1,,0.1,1,2,12,12,1,,,20,10000,1,2
"51-49-82-49","2083-001-03",1,31,1,,,1,2,"MAHARAGE",2,10,3,0,,,10,3,5000,4,1,1,5,1,,0.1,1,2,12,12,1,,,15,15000,1,2
"50-36-50-82","2086-001-01",3,31,1,,,1,2,"ASILI",2,18,1,0,,,18,1,16000,4,1,1,6,2,4,,,,,,,,,,,,
"92-24-01-44","2088-001-01",1,31,1,,,2,,"NJANO",2,7,1,0,,,7,1,7000,4,1,2,,1,,1,2,,5,5,1,,,100,100000,1,
"31-32-30-42","2089-001-01",1,11,1,,,1,2,"SEEDCO",3,2,1,2,1,3,0,,,,,1,5,1,,0.3,2,,4,3,1,,,90,50000,1,
"31-32-30-42","2089-001-01",1,31,1,,,1,2,"KIENYEJI",2,5,1,5,1,2,0,,,,,2,,1,,0.3,2,,1,1,1,,,100,70000,1,
"52-18-39-52","2090-001-01",3,11,1,,,1,2,"MAM'S",1,2,1,0,,,2,1,22000,16,3,2,,1,,1,1,9,2,2,1,,,20,10000,2,
"52-18-39-52","2090-001-01",3,31,1,,,1,2,"MAHARAGE",2,5,1,0,,,5,1,7000,16,1,1,2,1,,1,2,,2,2,1,,,60,45000,2,
"73-31-47-95","2102-001-01",1,11,2,2,1,1,2,"EBICHORI",2,10,1,10,1,2,0,,,,,1,6,1,,0.3,2,,3,4,1,,,108,40000,1,
"73-31-47-95","2102-001-01",1,31,2,3,1,1,2,"EBIHIMBA",2,3,2,3,3,2,0,,,,,1,3,1,,0.3,2,,3,3,1,,,60,60000,1,
"02-38-53-95","2103-001-01",1,11,2,2,1,1,2,"KIENYEJI",2,20,1,0,,,20,1,20000,4,1,2,,2,2,,,,,,,,,,,,
"34-93-93-40","2105-001-01",1,11,2,1,1,1,2,"MBEGU YA ASILI",2,8,1,8,1,2,0,,,,,2,,1,,0.25,2,,1,2,1,,,720,180000,1,
"82-80-81-61","2105-001-02",1,11,2,2,1,1,3,"MBEGU YA ASILI",2,9,1,9,1,2,0,,,,,2,,1,,0.5,2,,1,2,1,,,360,90000,2,6
"82-80-81-61","2105-001-02",1,31,1,,,1,2,"ASILI",2,10,1,10,1,2,0,,,,,2,,1,,0.5,2,,2,2,1,,,100,75000,6,
"21-33-89-79","2107-001-01",1,31,2,2,1,1,2,"MBEGU YA ASILI YA MAHARAGE",2,10,1,10,1,2,0,,,,,2,,1,,0.5,2,,12,1,1,,,160,120000,1,2
"21-33-89-79","2107-001-01",3,31,1,,,1,2,"MBEGU YA ASILI YA MAHARAGE",2,15,1,0,,,15,1,25000,4,1,2,,1,,0.5,1,4,1,1,1,,,80,35000,1,
"21-33-89-79","2107-001-01",4,31,2,2,3,1,2,"MBEGU YA ASILI YA MAHARAGE",2,18,1,0,,,18,1,35000,4,1,2,,1,,0.5,2,,2,2,1,,,200,120000,1,2
"21-33-89-79","2107-001-01",5,11,2,2,3,1,2,"MBEGU YA ASILI YA MAHINDI",2,30,1,0,,,30,1,25000,2,1,1,3,1,,0.5,1,4,3,3,1,,,400,45000,1,2
"21-33-89-79","2107-001-01",5,31,2,2,3,1,2,"MBEGU YA ASILI YA MAHARAGE",2,18,1,0,,,18,1,15000,2,1,1,3,1,,0.5,2,,2,2,1,,,80,35000,1,2
"21-33-89-79","2107-001-01",6,11,2,2,3,1,2,"MBEGU YA ASILI YA MAHINDI",2,15,1,0,,,15,1,8000,2,1,1,3,1,,0.1,2,,3,3,1,,,250,45000,1,2
"21-33-89-79","2107-001-01",6,31,2,2,3,1,2,"MBEGU YA ASILI YA MAHARAGE",2,15,1,0,,,15,1,10000,2,1,1,3,1,,0.2,1,4,2,2,1,,,20,30000,1,2
"08-12-12-35","2108-001-01",1,11,2,2,1,2,,"NYANDI",2,5,1,5,1,2,0,,,,,2,,1,,0.5,2,,3,3,1,,,324,30000,1,
"46-01-30-67","2109-001-01",2,11,1,,,1,2,"KIENYEJI",2,1,1,1,1,2,0,,,,,2,,2,2,,,,,,,,,,,,
"46-01-30-67","2109-001-01",2,31,1,,,1,2,"KIENYEJI",2,20,1,20,1,2,0,,,,,2,,2,2,,,,,,,,,,,,
"89-05-97-18","2110-001-01",1,11,2,1,4,1,2,"SIDCO",1,4,1,0,,,4,1,7000,16,1,2,,1,,0.5,2,,3,3,1,,,1330,234000,1,
"19-03-71-26","2121-001-01",1,998,1,,,1,2,"NDABALILA",2,45,1,45,1,2,0,,,,,2,,1,,0.5,2,,2,2,1,,,110,80000,1,
"72-87-81-32","2122-001-01",1,11,1,,,1,2,"MAHINDI",2,2,1,2,1,2,0,,,,,2,,1,,0.5,2,,2,2,1,,,50,30000,1,2
"72-87-81-32","2122-001-01",1,31,1,,,1,2,"MAHARAGE",2,10,1,10,1,2,0,,,,,2,,1,,0.5,2,,2,2,1,,,76,76000,1,2
"62-47-33-37","2123-001-01",1,11,2,1,1,1,2,"SEEDCO",1,2,1,2,1,1,0,,,,,1,3,1,,0.25,1,4,5,6,1,,,20,6000,6,7
"62-47-33-37","2123-001-01",1,25,2,1,1,1,2,"MBEGU ZA KIENYEJI",2,25,1,25,1,2,0,,,,,2,,1,,0.25,2,,10,9,1,,,80,20000,6,7
"62-47-33-37","2123-001-01",1,31,2,1,1,1,2,"SHEREKA",2,10,1,0,,,10,1,12000,16,1,2,,1,,0.25,2,,5,6,1,,,30,30000,6,7
"62-47-33-37","2123-001-01",3,11,2,1,1,1,2,"SEEDCO",1,1,1,1,1,1,0,,,,,1,3,1,,0.25,1,4,6,7,1,,,40,12000,6,7
"62-47-33-37","2123-001-01",3,31,2,1,1,1,2,"SHONA",2,15,1,15,1,2,0,,,,,2,,1,,0.25,2,,5,6,1,,,120,120000,6,7
"62-47-33-37","2123-001-01",3,43,2,1,1,1,2,"LUCIA",2,3,1,3,1,2,0,,,,,1,2,1,,0.25,1,5,5,6,1,,,60,30000,6,7
"37-05-92-60","2124-001-01",3,11,1,,,1,2,"ASILI",2,1,1,1,1,2,0,,,,,1,6,1,,0.2,1,9,2,2,1,,,3,1200,1,2
"37-05-92-60","2124-001-01",3,31,1,,,1,2,"ASILI",2,3.5,1,3.5,1,2,0,,,,,1,6,1,,0.2,2,,12,1,1,,,9,6300,1,2
"85-54-66-36","2125-001-01",1,31,1,,,2,,"SHONA",2,2,1,2,1,2,0,,,,,2,,1,,0.1,1,2,1,1,1,,,30,30000,1,
"85-54-66-36","2125-001-01",2,87,1,,,2,,"MWANGA",1,3,5,0,,,3,5,30000,9,2,2,,1,,0.3,2,,12,1,1,,,400,180000,1,
"85-54-66-36","2125-001-01",4,11,1,,,2,,"MAHINDI",2,10,1,10,1,2,0,,,,,2,,1,,1,2,,12,12,1,,,500,250000,1,
"94-09-90-45","2127-001-01",1,31,1,,,1,2,"WIFI NYEGELA",2,10,1,10,1,2,0,,,,,2,,1,,1,2,,12,12,1,,,60,60000,1,2
"41-24-37-00","2128-001-01",1,31,1,,,2,,"MAHARAGE MEUPE",2,5,1,5,1,2,0,,,,,2,,1,,0.5,2,,1,1,1,,,25,8000,2,
"41-24-37-00","2128-001-01",2,11,1,,,2,,"SIMBA",1,2,1,0,,,2,1,15000,9,2,1,2,1,,0.8,1,5,2,2,1,,,200,60000,2,
"96-25-27-68","2140-001-01",1,11,1,,,1,2,"SEEDCO",3,1,1,1,1,3,0,,,,,2,,1,,0.2,2,,1,1,1,,,80,20000,1,2
"96-25-27-68","2140-001-01",1,31,1,,,1,2,"KIAKARAGWE",2,3,1,3,1,2,0,,,,,2,,1,,0.2,1,4,12,12,1,,,6,6000,1,2
"96-25-27-68","2140-001-01",2,31,1,,,1,2,"KIAKARAGWE",2,3,1,0,,,3,1,6000,9,1,1,2,1,,0.2,2,,12,12,1,,,12,24000,1,2
"47-33-48-34","2143-001-01",1,11,2,2,1,1,2,"SEED CO",3,1,1,0,,,1,1,1000,16,1,2,,1,,0.4,2,,1,1,1,,,25,5000,1,6
"47-33-48-34","2143-001-01",1,22,2,1,1,2,,"VIAZI VITAMU",2,1,1,0,,,1,1,1500,16,1,2,,1,,0.15,2,,2,2,1,,,30,11000,1,6
"47-33-48-34","2143-001-01",1,31,2,3,1,1,2,"MAHARAGE",2,1,1,1,1,2,0,,,,,2,,1,,0.41,2,,1,1,1,,,21,7000,1,6
"41-90-49-08","2143-001-02",1,11,1,,,1,2,"MAHINDI",3,2,1,0,,,2,1,2000,16,1,1,3,1,,0.2,1,4,12,1,1,,,40,10000,1,2
"41-90-49-08","2143-001-02",1,22,2,1,1,1,2,"VIAZI VITAMU",2,20,1,20,1,2,0,,,,,2,,1,,0.19,2,,1,2,1,,,64,20000,1,3
"41-90-49-08","2143-001-02",1,24,1,,,1,2,"VIAZI VIKUU",2,13,1,13,1,2,0,,,,,2,,1,,0.5,2,,1,2,1,,,265,117000,1,3
"41-90-49-08","2143-001-02",1,25,2,1,1,1,2,"MAGIMBI",2,15,1,15,1,2,0,,,,,2,,1,,0.12,2,,2,2,1,,,128,40000,1,3
"41-90-49-08","2143-001-02",1,31,1,,,1,2,"MAHARAGE",2,15,1,15,1,2,0,,,,,1,6,1,,0.4,1,1,1,2,1,,,75,75000,1,2
"41-90-49-08","2143-001-02",1,43,2,1,1,1,1,"KARANGA",2,2,1,0,,,2,1,6500,16,1,2,,1,,0.15,2,,2,2,1,,,25,30000,1,3
"42-74-37-60","2144-001-01",1,11,1,,,1,2,"SEEDCO",3,2,1,0,,,2,1,2000,4,1,2,,1,,1,2,,2,2,1,,,40,14000,1,
"42-74-37-60","2144-001-01",1,22,1,,,2,,"VIAZI VYEUPE",2,2,5,2,5,2,0,,,,,2,,1,,1,2,,3,5,1,,,800,240000,1,
"42-74-37-60","2144-001-01",1,25,1,,,1,2,"MAGIMBI MEUPE",2,60,1,60,1,2,0,,,,,2,,1,,1,2,,10,9,1,,,120,60000,1,
"42-74-37-60","2144-001-01",1,31,1,,,1,2,"MAHARAGE YA NJANO",3,3,1,0,,,3,1,6000,5,2,2,,1,,1,2,,1,1,1,,,60,120000,1,
"88-95-93-56","2146-001-01",1,11,1,,,1,2,"PUNDAMILIA",1,5,1,0,,,5,1,18000,16,3,1,2,1,,0.5,2,,1,2,1,,,300,210000,1,
"88-95-93-56","2146-001-01",1,31,1,,,1,2,"MAHARAGE",2,3,5,3,5,2,0,,,,,1,2,1,,0.2,1,5,1,2,1,,,100,100000,1,
"88-95-93-56","2146-001-01",2,11,1,,,1,2,"PUNDAMILIA",1,3,1,0,,,3,1,10000,16,3,1,2,1,,0.1,1,5,1,2,1,,,150,105000,1,
"88-95-93-56","2146-001-01",2,31,1,,,1,2,"MAHARAGE",2,1,2,1,2,2,0,,,,,1,2,1,,0.2,1,5,1,2,1,,,120,120000,1,
"88-95-93-56","2146-001-01",3,11,1,,,1,2,"PUNDAMILIA",1,2,1,0,,,2,1,7000,16,3,1,2,1,,0.3,1,5,1,2,1,,,500,350000,1,
"88-95-93-56","2146-001-01",3,31,1,,,1,2,"MAHARAGE",2,1,2,1,2,2,0,,,,,1,2,1,,0.3,1,4,1,2,1,,,180,180000,1,
"37-02-89-81","2146-001-03",1,11,1,,,1,2,"SIDIKO",2,2,1,2,1,2,0,,,,,1,2,1,,0.1,1,5,1,2,1,,,20,10000,1,
"37-02-89-81","2146-001-03",1,31,1,,,1,2,"MAHARAGE",2,7,1,7,1,2,0,,,,,1,2,1,,0.2,1,5,1,1,1,,,60,60000,1,
"37-02-89-81","2146-001-03",2,11,1,,,1,2,"SIDIKO",2,2,1,2,1,2,0,,,,,1,2,2,3,,,,,,,,,,,,
"37-02-89-81","2146-001-03",2,31,1,,,1,2,"MAHARAGE",2,4,1,4,1,2,0,,,,,1,2,1,,0.1,1,5,1,2,1,,,40,40000,1,
"82-49-19-23","2159-001-01",1,11,2,2,1,1,2,"ASILI",2,10,1,10,1,2,0,,,,,2,,1,,0.5,2,,6,6,1,,,252,78400,1,
"43-24-82-62","2165-001-01",1,11,2,1,1,1,2,"MBEGU ZA ASILI",2,2,1,2,1,2,0,,,,,2,,1,,0.25,2,,2,2,1,,,240,80000,1,
"43-24-82-62","2165-001-01",1,25,2,1,1,1,2,"MAGIMBI",2,20,5,20,5,2,0,,,,,2,,1,,0.25,2,,1,4,1,,,40,6000,1,
"43-24-82-62","2165-001-01",2,31,2,1,1,1,2,"MAHARAGE YA NJANO",2,30,1,30,1,2,0,,,,,2,,1,,0.25,2,,1,1,1,,,160,324000,1,
