"interview__key","y5_hhid","plot_id","cropid","ag6b_02","ag6b_03","ag6b_04","ag6b_05","ag6b_06","ag6b_06a","ag6b_07_1","ag6b_07_2","ag6b_07_3","ag6b_07_4","ag6b_08_1","ag6b_08_2","ag6b_09","ag6b_10","ag6b_11"
"35-22-61-35","1401-001-01",3,34,5,2019,0,2,,1,2021,10,2021,11,1,2,5,2,
"39-91-71-06","1403-001-01",2,60,60,2017,0,1,2,1,2020,9,2021,8,1,,60,2,
"59-62-66-41","1420-001-01",1,21,6,2020,6,1,2,2,,,,,,,,,
"59-62-66-41","1420-001-01",1,60,6,2019,0,2,,1,2020,12,2021,1,2,,15,2,
"66-75-13-74","1421-001-01",1,44,1,2005,0,1,2,1,2020,10,2021,1,1,,25,2,
"70-27-56-40","1439-001-01",1,45,60,1900,0,2,,2,,,,,,,,,
"70-27-56-40","1439-001-01",1,304,100,2020,100,2,,2,,,,,,,,,
"79-50-93-44","1462-001-01",1,21,25,2019,13,1,2,1,2020,5,2020,8,2,,48,2,
"79-50-93-44","1462-001-01",1,45,3,2005,0,1,2,1,2020,7,2020,11,2,,40,2,
"79-50-93-44","1462-001-01",1,60,105,2015,11,1,2,1,2020,8,2021,1,2,,70,2,
"16-62-97-48","1517-001-01",1,60,20,2020,5,1,2,2,,,,,,,,,
"35-70-97-65","1519-001-01",1,45,2,1900,0,2,,1,2020,1,2021,2,2,6,520,2,
"30-18-08-81","1536-001-01",1,45,1,1997,0,2,,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,45,1,2015,0,1,2,2,,,,,,,,,
"00-33-05-95","1551-001-01",1,60,80,2020,0,1,2,2,,,,,,,,,
"35-10-30-26","1552-001-01",1,45,2,2012,0,1,2,1,2020,8,2020,11,1,3,60,2,
"35-10-30-26","1552-001-01",1,46,1,2018,0,1,2,2,,,,,,,,,
"35-10-30-26","1552-001-01",1,60,20,2017,0,1,2,1,2020,8,2020,12,1,3,100,2,
"87-34-09-05","1553-001-03",1,45,1,2007,0,2,,1,2020,9,2020,12,4,5,20,2,
"87-34-09-05","1553-001-03",1,60,100,2007,0,2,,1,2020,4,2020,11,4,5,160,2,
"18-78-78-83","1554-001-01",1,46,1,1900,0,2,,1,2020,9,2020,12,1,,5,1,5
"72-28-96-80","1555-001-01",1,45,1,2017,0,1,2,2,,,,,,,,,
"72-28-96-80","1555-001-01",1,60,1,2020,1,1,2,1,2020,12,2020,12,1,2,50,2,
"98-95-18-17","1556-001-01",1,45,1,1900,0,1,2,1,2020,3,2020,9,2,,80,2,
"98-95-18-17","1556-001-01",1,60,68,2015,0,1,2,1,2020,2,2020,11,2,,65,2,
"87-14-18-77","1557-001-01",1,21,12,2020,12,1,2,2,,,,,,,,,
"87-14-18-77","1557-001-01",1,34,9,2019,0,2,,1,2020,9,2020,9,1,2,20,2,
"87-14-18-77","1557-001-01",1,44,1,2001,0,2,,1,2020,10,2020,12,6,8,40,1,3
"87-14-18-77","1557-001-01",1,45,3,2009,0,2,,1,2020,10,2020,10,1,2,20,2,
"87-14-18-77","1557-001-01",1,46,1,2015,0,2,,1,2020,8,2020,8,1,2,6,1,5
"87-14-18-77","1557-001-01",1,60,4,2019,0,2,,1,2020,9,2020,12,1,2,5,2,
"87-14-18-77","1557-001-01",1,304,1,2018,0,2,,2,,,,,,,,,
"28-18-07-54","1573-001-01",1,45,3,2001,0,1,2,1,2020,11,2021,11,1,2,106,2,
"26-44-95-55","1594-001-01",1,45,2,2013,0,2,,2,,,,,,,,,
"26-44-95-55","1594-001-01",1,60,63,2018,0,2,,1,2020,9,2021,1,2,,40,2,
"00-17-71-97","1596-001-01",1,21,100,2020,50,1,2,1,2020,9,2021,8,1,2,900,2,
"00-17-71-97","1596-001-01",1,44,15,1998,0,1,2,1,2020,9,2021,8,1,2,150,2,
"00-17-71-97","1596-001-01",1,54,180,1996,0,1,2,1,2021,6,2021,8,1,2,80,2,
"00-17-71-97","1596-001-01",1,60,2000,2017,0,1,2,1,2020,9,2021,8,1,2,2250,1,5
"00-17-71-97","1596-001-01",1,302,2000,1998,0,1,2,1,2020,9,2021,8,1,2,1000,2,
"00-17-71-97","1596-001-01",1,303,60,1998,0,1,2,1,2020,9,2021,8,1,2,1000,2,
"00-17-71-97","1596-001-01",1,304,2000,2004,0,1,2,1,2020,10,2020,10,1,2,200000,2,
"00-17-71-97","1596-001-01",1,305,1000,1998,0,1,2,1,2020,9,2021,8,1,2,50,2,
"00-17-71-97","1596-001-01",2,304,2000,2016,0,2,,2,,,,,,,,,
"26-30-52-40","1614-001-01",1,45,2,2000,0,2,,1,2020,6,2020,9,2,,100,2,
"73-64-90-48","1633-001-01",1,60,8,2021,8,1,2,2,,,,,,,,,
"22-38-66-35","1705-001-01",1,21,100,2020,100,1,2,1,2021,1,2021,4,1,,350,1,3
"22-38-66-35","1705-001-01",1,44,1,1900,0,2,,2,,,,,,,,,
"22-38-66-35","1705-001-01",1,45,2,1900,0,1,2,1,2020,2,2021,1,1,,8000,2,
"22-38-66-35","1705-001-01",1,46,4,2017,2,1,2,2,,,,,,,,,
"22-38-66-35","1705-001-01",1,60,50,2017,0,1,2,1,2020,7,2021,2,1,,140,2,
"59-65-56-21","1707-001-01",1,60,18,2020,3,2,,2,,,,,,,,,
"97-86-60-25","1709-001-01",1,60,15,2020,2,2,,2,,,,,,,,,
"63-97-16-08","1725-001-01",1,34,12,2020,12,1,2,2,,,,,,,,,
"63-97-16-08","1725-001-01",1,57,20,2018,0,2,,1,2020,1,2020,12,1,,50,2,
"63-97-16-08","1725-001-01",1,60,4,2019,0,2,,1,2020,4,2020,6,1,,5,2,
"63-97-16-08","1725-001-01",1,305,1,2020,1,1,2,2,,,,,,,,,
"15-97-35-81","1745-001-01",1,21,205,1876,60,1,2,1,2020,6,2020,7,1,,780,2,
"15-97-35-81","1745-001-01",1,34,65,1956,0,1,2,1,2020,6,2020,8,1,,36,2,
"60-65-34-17","1746-001-01",1,34,2,2020,2,2,,1,2020,9,2020,9,2,,3,2,
"60-65-34-17","1746-001-01",1,57,12,2011,0,2,,2,,,,,,,,,
"60-65-34-17","1746-001-01",1,60,1,2020,1,2,,1,2020,8,2020,12,2,,7,2,
"99-84-02-40","1764-001-01",1,60,15,2020,3,2,,1,2021,1,2021,1,2,,30,2,
"99-84-02-40","1764-001-01",1,305,1,2013,0,2,,2,,,,,,,,,
"88-80-90-94","1766-001-01",1,57,7,2020,7,2,,1,2020,1,2021,1,1,5,30,2,
"17-64-18-79","1768-001-01",2,21,100,2020,120,2,,1,2020,8,2021,2,1,,70,2,
"17-64-18-79","1768-001-01",3,60,5,2020,2,2,,1,2020,11,2021,1,1,,15,2,
"11-59-35-06","1785-001-03",1,21,80,2021,100,2,,1,2021,6,2021,10,1,2,10,2,
"11-59-35-06","1785-001-03",2,304,1,1900,0,2,,2,,,,,,,,,
"61-05-13-10","1798-001-01",1,303,150,2015,0,2,,2,,,,,,,,,
"61-05-13-10","1798-001-01",3,303,4,1900,0,2,,2,,,,,,,,,
"03-94-16-92","1799-001-01",1,34,20,2019,0,2,,1,2020,6,2020,7,1,2,80,2,
"03-94-16-92","1799-001-01",5,46,30,2018,0,2,,2,,,,,,,,,
"96-34-88-55","1800-001-01",3,21,400,2019,0,2,,1,2019,12,2020,11,3,5,5,2,
"96-34-88-55","1800-001-01",4,46,40,2017,0,2,,2,,,,,,,,,
"03-14-29-97","1820-001-01",1,45,1,2005,0,2,,1,2020,12,2021,6,1,,25,2,
"49-86-16-68","1843-001-01",1,301,1,1900,0,2,,1,2020,6,2020,10,1,2,45,2,
"32-28-64-63","1875-001-01",1,304,30,2017,0,2,,2,,,,,,,,,
"32-28-64-63","1875-001-01",3,304,15,2020,15,1,2,2,,,,,,,,,
"15-55-16-65","1876-001-02",1,21,200,2019,0,1,2,1,2020,9,2020,9,2,,60,1,4
"08-43-62-70","1893-001-01",3,21,7000,2019,350,1,2,1,2020,8,2020,10,1,2,195,1,4
"79-60-26-09","1896-001-01",1,304,2000,2015,400,2,,2,,,,,,,,,
"79-60-26-09","1896-001-01",3,304,1000,2015,0,2,,2,,,,,,,,,
"72-94-88-22","1916-001-01",1,304,7,2014,0,2,,2,,,,,,,,,
"72-94-88-22","1916-001-01",4,304,3,2019,0,2,,2,,,,,,,,,
"51-16-84-33","1932-001-01",1,304,5,2005,0,1,2,2,,,,,,,,,
"55-83-06-85","1932-001-04",1,21,0,2019,420,2,,1,2020,9,2020,10,1,2,700,2,
"55-83-06-85","1932-001-04",3,21,0,2019,250,2,,1,2020,9,2020,10,1,2,400,2,
"41-12-45-18","1933-001-01",3,21,500,2020,0,2,,2,,,,,,,,,
"66-14-94-18","1935-001-01",1,21,500,2020,0,1,2,1,2021,9,2021,10,1,,40,2,
"66-14-94-18","1935-001-01",1,304,17,2014,7,1,2,2,,,,,,,,,
"66-14-94-18","1935-001-01",2,304,1,1900,0,2,,2,,,,,,,,,
"56-51-57-98","1936-001-01",1,21,1500,2020,1500,1,2,2,,,,,,,,,
"58-41-33-74","1936-001-02",1,21,200,2020,0,1,2,2,,,,,,,,,
"98-18-22-89","1937-001-02",1,21,1860,2020,0,1,2,1,2021,7,2021,9,2,,850,2,
"98-18-22-89","1937-001-02",2,21,2600,2020,0,1,2,2,,,,,,,,,
"12-92-55-03","1938-001-01",1,304,30,2016,0,1,2,2,,,,,,,,,
"05-92-83-74","1938-001-02",1,21,500,2019,50,1,2,1,2020,12,2021,11,1,2,150,2,
"05-92-83-74","1938-001-02",1,44,2,2000,0,1,2,2,,,,,,,,,
"05-92-83-74","1938-001-02",1,54,10,2019,2,1,2,1,2021,10,2021,10,1,2,24,2,
"05-92-83-74","1938-001-02",1,60,20,2011,0,1,2,1,2020,12,2021,11,1,2,50,2,
"05-92-83-74","1938-001-02",1,304,3,1900,0,1,2,2,,,,,,,,,
"05-92-83-74","1938-001-02",1,998,2000,2020,1000,1,2,1,2020,12,2021,11,1,2,300,2,
"81-77-28-59","1955-001-01",3,304,350,2013,0,2,,2,,,,,,,,,
"16-23-33-32","1957-001-01",1,21,150,2019,0,1,2,1,2020,9,2020,10,1,,120,2,
"78-73-09-30","1976-001-01",1,34,30,2021,20,2,,1,2021,7,2021,8,7,,35,1,3
"32-78-55-35","1988-001-06",2,304,300,2015,0,2,,2,,,,,,,,,
"25-96-98-14","1988-001-07",1,304,5,2012,0,1,2,2,,,,,,,,,
"25-96-98-14","1988-001-07",4,304,150,2014,0,1,2,2,,,,,,,,,
"42-19-40-01","1991-001-04",2,304,500,2020,500,2,,2,,,,,,,,,
"21-07-86-97","1992-001-01",4,304,5,2016,5,1,2,2,,,,,,,,,
"86-15-44-91","1994-001-03",2,60,75,2015,0,2,,1,2020,5,2020,7,1,2,112,2,
"86-15-44-91","1994-001-03",2,304,2,2012,0,2,,2,,,,,,,,,
"86-15-44-91","1994-001-03",3,302,1000,1965,0,2,,1,2020,2,2021,1,1,2,1520,2,
"23-38-07-81","2008-001-01",3,304,600,2013,200,2,,2,,,,,,,,,
"31-46-39-26","2009-001-01",2,304,750,2014,0,2,,2,,,,,,,,,
"82-54-02-14","2009-001-04",1,304,500,2014,0,2,,2,,,,,,,,,
"82-54-02-14","2009-001-04",2,304,600,2014,0,2,,2,,,,,,,,,
"27-69-09-19","2010-001-01",2,998,55,2015,33,2,,1,2020,1,2020,12,1,2,720,2,
"27-69-09-19","2010-001-01",4,304,500,2014,0,2,,2,,,,,,,,,
"27-69-09-19","2010-001-01",5,304,1500,2013,0,2,,2,,,,,,,,,
"27-69-09-19","2010-001-01",6,304,1300,2012,500,2,,1,2020,8,2020,9,1,,4000000,2,
"67-18-23-87","2011-001-01",1,304,276,2014,0,2,,2,,,,,,,,,
"67-18-23-87","2011-001-01",2,304,166,2012,0,2,,1,2020,8,2020,8,1,2,16200,2,
"67-18-23-87","2011-001-01",3,304,170,2013,0,2,,1,2020,9,2020,9,1,,10200,2,
"67-18-23-87","2011-001-01",4,304,580,2015,0,2,,2,,,,,,,,,
"67-18-23-87","2011-001-01",5,304,308,2014,0,2,,1,2020,7,2020,7,1,2,18480,2,
"67-18-23-87","2011-001-01",6,304,80,2014,0,2,,1,2020,8,2020,8,1,2,3600,2,
"67-18-23-87","2011-001-01",7,304,125,2017,34,2,,2,,,,,,,,,
"23-38-22-85","2012-001-01",1,304,440,2019,0,1,2,2,,,,,,,,,
"68-75-40-96","2033-001-01",5,304,10,2015,0,1,2,2,,,,,,,,,
"62-61-78-73","2046-001-01",1,21,10,2019,20,1,2,1,2020,10,2020,10,1,2,50,2,
"62-61-78-73","2046-001-01",1,302,40,1990,0,2,,1,2020,1,2020,5,1,2,1260,2,
"51-19-63-66","2048-001-01",1,53,21,1975,0,2,,2,,,,,,,,,
"71-98-45-44","2052-001-01",1,302,770,1989,0,1,2,2,,,,,,,,,
"94-12-64-07","2064-001-01",1,54,500,2010,20,1,2,1,2020,6,2020,6,1,,120,2,
"17-99-58-67","2065-001-01",1,21,1000,2019,50,1,2,1,2020,1,2020,12,1,2,240,2,
"17-99-58-67","2065-001-01",1,54,50,1900,20,1,2,1,2020,6,2020,7,1,2,180,2,
"77-92-16-67","2066-001-01",1,54,120,2017,40,1,2,2,,,,,,,,,
"77-92-16-67","2066-001-01",1,304,800,1994,0,1,2,2,,,,,,,,,
"77-92-16-67","2066-001-01",2,54,1000,2002,0,1,2,1,2020,7,2020,7,1,,630,2,
"77-92-16-67","2066-001-01",2,304,50,1994,0,1,2,2,,,,,,,,,
"66-38-93-89","2067-001-01",1,54,16,2006,0,1,2,2,,,,,,,,,
"66-38-93-89","2067-001-01",2,54,20,2006,0,1,2,2,,,,,,,,,
"35-93-00-79","2068-001-01",1,54,3,1900,0,1,2,1,2020,6,2020,8,1,,2,2,
"35-93-00-79","2068-001-01",2,54,6,1900,0,1,2,1,2020,6,2020,8,1,,3,2,
"35-93-00-79","2068-001-01",3,54,36,1900,0,1,2,1,2020,6,2020,8,1,,40,2,
"35-93-00-79","2068-001-01",4,21,80,2017,0,1,2,2,,,,,,,,,
"35-93-00-79","2068-001-01",4,54,35,1900,0,1,2,2,,,,,,,,,
"98-95-98-62","2070-001-01",2,54,30,1999,0,1,2,1,2020,6,2020,7,1,2,180,2,
"98-95-98-62","2070-001-01",3,21,100,2019,0,1,2,1,2020,6,2020,7,1,2,240,2,
"24-27-78-93","2083-001-01",1,54,4,1900,0,2,,1,2021,5,2021,7,2,,10,1,5
"24-27-78-93","2083-001-01",1,304,2,2000,0,2,,2,,,,,,,,,
"24-27-78-93","2083-001-01",2,54,13,2000,0,2,,1,2021,5,2021,7,2,,50,1,5
"51-49-82-49","2083-001-03",1,304,20,2010,0,2,,2,,,,,,,,,
"50-36-50-82","2086-001-01",2,21,1000,2019,0,2,,1,2021,8,2021,10,1,2,50,2,
"50-36-50-82","2086-001-01",3,21,500,2021,500,1,2,2,,,,,,,,,
"29-87-29-69","2087-001-01",1,54,25,2020,25,1,1,2,,,,,,,,,
"29-87-29-69","2087-001-01",2,54,233,2019,200,1,1,2,,,,,,,,,
"92-24-01-44","2088-001-01",1,21,60,2019,0,1,2,1,2021,7,2021,10,1,,300,1,5
"31-32-30-42","2089-001-01",1,21,30,2020,30,1,2,1,2021,7,2021,10,1,,80,2,
"31-32-30-42","2089-001-01",1,54,12,1974,0,1,2,1,2020,9,2021,10,1,,15,2,
"31-32-30-42","2089-001-01",1,304,1,1999,0,1,2,2,,,,,,,,,
"73-31-47-95","2102-001-01",1,54,60,2008,0,1,2,1,2020,7,2020,8,1,,110,2,
"02-38-53-95","2103-001-01",1,54,80,2005,0,1,2,1,2020,7,2020,8,1,2,385,2,
"34-93-93-40","2105-001-01",1,54,33,1998,12,2,,1,2020,7,2020,7,1,,222,2,
"34-93-93-40","2105-001-01",1,60,15,2017,0,2,,1,2020,8,2020,11,1,,25,2,
"82-80-81-61","2105-001-02",1,54,70,1998,22,2,,1,2020,6,2020,8,6,,180,2,
"21-33-89-79","2107-001-01",1,54,53,2001,0,1,2,1,2020,7,2020,8,1,2,60,2,
"21-33-89-79","2107-001-01",2,54,200,1994,0,1,2,1,2020,8,2020,9,1,2,300,2,
"21-33-89-79","2107-001-01",3,21,50,2019,0,1,2,1,2020,9,2020,9,1,2,60,2,
"21-33-89-79","2107-001-01",4,21,100,2018,0,1,2,1,2020,8,2020,8,1,2,60,2,
"21-33-89-79","2107-001-01",4,304,60,2017,0,1,2,1,2020,12,2020,12,1,2,50,2,
"21-33-89-79","2107-001-01",5,304,50,2000,0,1,2,2,,,,,,,,,
"08-12-12-35","2108-001-01",1,54,3000,2001,0,1,2,1,2020,7,2020,8,1,,1000,2,
"46-01-30-67","2109-001-01",2,54,60,2006,50,1,2,1,2020,7,2020,8,1,,65,2,
"46-01-30-67","2109-001-01",2,304,3,2010,0,1,2,2,,,,,,,,,
"89-05-97-18","2110-001-01",1,21,50,2020,0,1,2,1,2021,8,2021,10,1,,200,2,
"89-05-97-18","2110-001-01",1,54,1200,2013,0,1,2,1,2020,7,2020,9,1,,120,2,
"89-05-97-18","2110-001-01",1,60,7,2015,0,1,2,1,2020,10,2021,9,1,,7,2,
"89-05-97-18","2110-001-01",1,998,50,2014,0,1,2,1,2020,7,2020,12,1,,100,2,
"19-03-71-26","2121-001-01",1,54,150,1900,0,1,2,1,2020,10,2021,9,1,,150,2,
"19-03-71-26","2121-001-01",1,60,4,2019,0,1,2,2,,,,,,,,,
"19-03-71-26","2121-001-01",1,998,3,2016,0,1,2,2,,,,,,,,,
"72-87-81-32","2122-001-01",1,21,50,2020,20,1,2,1,2020,10,2021,9,1,2,480,2,
"72-87-81-32","2122-001-01",1,54,75,2021,0,1,2,1,2020,10,2021,9,1,2,55,2,
"72-87-81-32","2122-001-01",1,304,1,2008,0,1,2,2,,,,,,,,,
"62-47-33-37","2123-001-01",1,21,30,2020,10,1,2,1,2020,10,2021,9,1,,48,2,
"62-47-33-37","2123-001-01",1,54,11,2001,0,1,2,1,2021,5,2021,7,1,,60,2,
"62-47-33-37","2123-001-01",1,60,40,2000,0,1,2,1,2020,10,2021,9,1,,108,2,
"62-47-33-37","2123-001-01",1,304,3,2015,0,1,2,1,2021,6,2021,6,1,,400,2,
"62-47-33-37","2123-001-01",3,21,80,2020,50,1,2,1,2020,10,2021,9,6,7,48,1,3
"37-05-92-60","2124-001-01",1,21,40,2019,10,1,2,1,2020,10,2021,9,1,2,200,2,
"37-05-92-60","2124-001-01",1,54,10,2013,0,1,2,2,,,,,,,,,
"37-05-92-60","2124-001-01",1,60,3,2019,0,1,2,1,2020,10,2021,9,1,2,10,2,
"37-05-92-60","2124-001-01",1,304,5,2015,0,1,2,1,2020,10,2021,9,1,2,100,2,
"37-05-92-60","2124-001-01",1,998,50,2018,10,1,2,1,2020,10,2021,9,1,2,100,2,
"37-05-92-60","2124-001-01",2,21,10,2018,0,1,2,1,2020,10,2021,9,1,2,50,2,
"37-05-92-60","2124-001-01",2,54,400,2014,0,1,2,1,2020,10,2021,9,1,2,300,2,
"37-05-92-60","2124-001-01",2,304,10,2018,0,1,2,2,,,,,,,,,
"37-05-92-60","2124-001-01",3,21,10,2018,5,1,2,1,2020,10,2021,9,1,2,30,2,
"37-05-92-60","2124-001-01",3,54,20,2013,0,1,2,1,2020,10,2021,9,1,2,50,2,
"37-05-92-60","2124-001-01",4,54,400,2005,0,1,2,1,2020,10,2021,9,1,,400,2,
"37-05-92-60","2124-001-01",5,304,200,2019,0,2,,1,2020,10,2021,9,1,,500,2,
"85-54-66-36","2125-001-01",1,54,6,2013,0,2,,1,2020,6,2020,7,1,,10,2,
"85-54-66-36","2125-001-01",3,54,50,2010,0,2,,1,2020,6,2020,7,1,,100,2,
"85-54-66-36","2125-001-01",3,304,4,2015,0,1,2,2,,,,,,,,,
"85-54-66-36","2125-001-01",4,21,10,2021,10,2,,2,,,,,,,,,
"35-74-58-19","2126-001-01",1,21,30,2020,50,1,2,1,2021,8,2021,9,1,,50,2,
"35-74-58-19","2126-001-01",1,54,5,2000,0,1,2,2,,,,,,,,,
"35-74-58-19","2126-001-01",1,60,1,2020,1,1,2,1,2021,8,2021,9,1,2,5,2,
"35-74-58-19","2126-001-01",1,304,1,2016,0,1,2,2,,,,,,,,,
"94-09-90-45","2127-001-01",1,21,50,2020,50,1,2,1,2020,8,2021,9,1,2,80,2,
"94-09-90-45","2127-001-01",1,54,6,1999,0,1,2,1,2020,8,2021,9,1,2,60,2,
"94-09-90-45","2127-001-01",3,998,15,2015,0,2,,2,,,,,,,,,
"41-24-37-00","2128-001-01",1,21,30,2019,12,1,2,1,2021,9,2021,9,2,,35,2,
"41-24-37-00","2128-001-01",1,45,1,2013,0,2,,2,,,,,,,,,
"41-24-37-00","2128-001-01",1,54,10,2017,0,2,,2,,,,,,,,,
"41-24-37-00","2128-001-01",1,60,7,2017,0,2,,1,2021,6,2021,8,2,,53,2,
"96-25-27-68","2140-001-01",1,21,100,2020,100,1,2,1,2021,6,2021,8,1,2,120,2,
"96-25-27-68","2140-001-01",1,44,2,1995,0,1,2,1,2020,8,2021,9,1,2,40,2,
"96-25-27-68","2140-001-01",1,54,100,1995,0,1,2,1,2020,8,2021,9,1,2,150,2,
"96-25-27-68","2140-001-01",1,304,10,2001,0,1,2,1,2020,8,2021,9,1,2,300,2,
"96-25-27-68","2140-001-01",2,44,1,2000,0,1,2,1,2020,8,2021,9,1,2,10,2,
"96-25-27-68","2140-001-01",2,54,10,1998,0,1,2,1,2020,8,2021,9,1,2,60,2,
"96-25-27-68","2140-001-01",2,304,8,2001,0,1,2,1,2020,8,2021,9,1,2,150,2,
"60-98-83-84","2141-001-01",1,21,30,2021,30,1,2,2,,,,,,,,,
"60-98-83-84","2141-001-01",1,44,2,2000,0,1,2,1,2020,2,2021,4,1,2,4,2,
"60-98-83-84","2141-001-01",1,54,100,2010,0,1,2,2,,,,,,,,,
"60-98-83-84","2141-001-01",1,304,2,2015,0,1,2,2,,,,,,,,,
"60-98-83-84","2141-001-01",2,21,60,2019,50,1,2,1,2021,3,2021,10,1,2,150,2,
"49-89-60-44","2142-001-01",1,21,200,2019,0,1,2,1,2020,10,2021,9,1,,72,2,
"49-89-60-44","2142-001-01",1,44,2,2003,0,1,2,1,2020,5,2021,1,1,,300,2,
"49-89-60-44","2142-001-01",1,54,200,1990,0,1,2,1,2020,5,2021,8,1,,30,2,
"49-89-60-44","2142-001-01",1,303,100,1950,0,1,2,1,2020,10,2021,9,1,,180,2,
"49-89-60-44","2142-001-01",1,304,20,2017,0,1,2,2,,,,,,,,,
"47-33-48-34","2143-001-01",1,21,200,2021,200,1,2,2,,,,,,,,,
"47-33-48-34","2143-001-01",1,44,1,2021,0,2,,2,,,,,,,,,
"47-33-48-34","2143-001-01",1,54,15,2021,0,1,2,1,2021,6,2021,7,1,6,18,2,
"41-90-49-08","2143-001-02",1,21,35,2020,10,1,2,1,2020,10,2021,9,1,2,240,2,
"41-90-49-08","2143-001-02",1,54,30,2003,0,1,2,2,,,,,,,,,
"42-74-37-60","2144-001-01",1,21,230,2021,230,1,2,2,,,,,,,,,
"42-74-37-60","2144-001-01",1,44,5,2001,0,1,2,1,2020,10,2021,9,1,,60,2,
"42-74-37-60","2144-001-01",1,54,150,2001,0,1,2,1,2020,10,2021,9,1,,180,2,
"42-74-37-60","2144-001-01",1,304,75,2014,0,1,2,1,2020,10,2021,10,1,,600,2,
"51-55-51-26","2145-001-01",1,21,200,2019,50,1,2,1,2020,8,2021,2,1,,100,2,
"51-55-51-26","2145-001-01",1,54,150,2000,0,1,2,1,2021,4,2021,7,1,,80,2,
"51-55-51-26","2145-001-01",1,60,20,2019,0,1,2,1,2021,5,2021,7,1,,200,2,
"51-55-51-26","2145-001-01",1,304,35,2012,7,1,2,1,2021,7,2021,11,1,,1000,2,
"51-55-51-26","2145-001-01",2,54,10,1992,0,1,2,1,2021,4,2021,7,1,,30,2,
"88-95-93-56","2146-001-01",1,21,700,2021,700,1,2,2,,,,,,,,,
"88-95-93-56","2146-001-01",1,54,450,2011,0,1,2,1,2021,3,2021,6,1,,600,2,
"88-95-93-56","2146-001-01",1,304,100,1993,0,1,2,2,,,,,,,,,
"88-95-93-56","2146-001-01",2,21,100,2021,80,1,2,1,2020,10,2021,9,1,,60,2,
"88-95-93-56","2146-001-01",2,54,150,1900,0,1,2,1,2021,5,2021,6,1,,200,2,
"88-95-93-56","2146-001-01",2,304,20,2015,0,1,2,2,,,,,,,,,
"88-95-93-56","2146-001-01",3,44,1,2018,0,1,2,2,,,,,,,,,
