"interview__key","y5_hhid","cropid","ag7b_02","ag7b_03","ag7b_04","ag7b_05_1","ag7b_05_2","ag7b_06_1","ag7b_06_2","ag7b_07_1a","ag7b_07_1b","ag7b_07_2a","ag7b_07_2b","ag7b_08","ag7b_09","ag7b_10","ag7b_11","ag7b_12","ag7b_13","ag7b_14","ag7b_15","ag7b_16","ag7b_17","ag7b_18","ag7b_19","ag7b_20","ag7b_21"
"86-15-44-91","1994-001-03",302,1,160,4000,1,2,1,2,9,1,9,1,2,,,,,2,,,,1020,0,0,320,0
"27-69-09-19","2010-001-01",304,1,800,4000000,1,,1,,9,3,9,3,2,,,,,2,,,,0,0,0,0,0
"27-69-09-19","2010-001-01",998,1,360,1080000,1,2,1,2,9,1,9,1,2,,,,,2,,,,150,0,0,110,0
"67-18-23-87","2011-001-01",304,1,48480,790000,1,,1,2,9,2,9,2,2,,,,,2,,,,0,0,0,0,0
"62-61-78-73","2046-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"62-61-78-73","2046-001-01",302,1,1000,250000,1,2,1,2,9,1,9,1,2,,,,,2,,,,200,0,0,60,0
"94-12-64-07","2064-001-01",54,1,120,120000,1,,1,,9,3,9,3,2,,,,,2,,,,0,0,0,0,0
"17-99-58-67","2065-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,240,0,0,0,0
"17-99-58-67","2065-001-01",54,1,180,90000,1,2,1,2,9,3,9,3,2,,,,,2,,,,0,0,0,0,0
"77-92-16-67","2066-001-01",54,1,630,756000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"35-93-00-79","2068-001-01",54,1,55,165000,1,,1,,9,1,9,1,2,,,,,2,,,,0,0,0,0,0
"98-95-98-62","2070-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,240,0,0,0,0
"98-95-98-62","2070-001-01",54,1,163,198000,1,2,1,2,9,1,9,1,2,,,,,2,,,,0,0,0,0,0
"24-27-78-93","2083-001-01",54,1,60,72000,2,,2,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"50-36-50-82","2086-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"92-24-01-44","2088-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,0,0
"31-32-30-42","2089-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,0,0
"31-32-30-42","2089-001-01",54,1,15,17500,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"73-31-47-95","2102-001-01",54,1,110,120000,1,,1,,9,1,9,1,2,,,,,2,,,,0,0,0,0,0
"02-38-53-95","2103-001-01",54,1,385,560000,1,,1,,11,3,9,3,2,,,,,2,,,,0,0,0,0,0
"34-93-93-40","2105-001-01",54,1,222,222000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"34-93-93-40","2105-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,42,0,0,0,0
"82-80-81-61","2105-001-02",54,1,180,180000,6,,6,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"21-33-89-79","2107-001-01",21,1,12,15000,1,2,1,2,4,1,4,1,2,,,,,2,,,,108,0,0,0,0
"21-33-89-79","2107-001-01",54,1,360,381000,1,2,1,2,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"21-33-89-79","2107-001-01",304,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"08-12-12-35","2108-001-01",54,1,1000,1200000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"46-01-30-67","2109-001-01",54,1,65,200000,1,,1,,9,4,9,4,2,,,,,2,,,,0,0,0,0,0
"89-05-97-18","2110-001-01",21,1,100,15000,1,,1,,2,1,2,1,1,80,4,2,,2,,,,20,0,0,0,0
"89-05-97-18","2110-001-01",54,1,120,170000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"89-05-97-18","2110-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,7,0,0,0,0
"89-05-97-18","2110-001-01",998,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,0,0
"19-03-71-26","2121-001-01",54,1,150,150000,1,,1,,6,1,6,1,2,,,,,2,,,,10,0,0,0,0
"72-87-81-32","2122-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,480,0,0,0,0
"72-87-81-32","2122-001-01",54,2,,,,,,,,,,,2,,,,,2,,,,55,0,0,0,0
"62-47-33-37","2123-001-01",21,2,,,,,,,,,,,1,12,4,2,,2,,,,108,0,0,0,0
"62-47-33-37","2123-001-01",54,1,30,27000,1,,1,,9,1,9,1,2,,,,,2,,,,20,0,0,10,0
"62-47-33-37","2123-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,72,0,0,36,0
"62-47-33-37","2123-001-01",304,2,,,,,,,,,,,2,,,,,2,,,,400,0,0,0,0
"37-05-92-60","2124-001-01",21,2,,,,,,,,,,,1,50,4,2,,2,,,,200,0,0,0,0
"37-05-92-60","2124-001-01",54,1,750,900000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"37-05-92-60","2124-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,0,0
"37-05-92-60","2124-001-01",304,1,200,500000,1,,1,,2,1,2,1,2,,,,,2,,,,300,0,0,0,0
"37-05-92-60","2124-001-01",998,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,0,0
"85-54-66-36","2125-001-01",54,1,110,132000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"35-74-58-19","2126-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"35-74-58-19","2126-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"94-09-90-45","2127-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,160,0,0,0,0
"94-09-90-45","2127-001-01",54,1,60,60000,1,2,1,2,7,1,7,1,2,,,,,2,,,,0,0,0,0,0
"41-24-37-00","2128-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,35,0,0,0,0
"41-24-37-00","2128-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,53,0,0,0,0
"96-25-27-68","2140-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,0,0
"96-25-27-68","2140-001-01",44,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"96-25-27-68","2140-001-01",54,1,210,210000,1,2,1,2,9,1,9,1,2,,,,,2,,,,0,0,0,0,0
"96-25-27-68","2140-001-01",304,1,350,75000,1,2,1,2,16,1,16,1,2,,,,,2,,,,100,0,0,0,0
"60-98-83-84","2141-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,150,0,0,0,0
"60-98-83-84","2141-001-01",44,2,,,,,,,,,,,2,,,,,2,,,,4,0,0,0,0
"49-89-60-44","2142-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,72,0,0,0,0
"49-89-60-44","2142-001-01",44,1,175,37500,1,,1,,2,1,2,1,2,,,,,2,,,,125,0,0,0,0
"49-89-60-44","2142-001-01",54,1,30,30000,1,,1,,9,2,9,2,2,,,,,2,,,,0,0,0,0,0
"49-89-60-44","2142-001-01",303,2,,,,,,,,,,,2,,,,,2,,,,180,0,0,0,0
"47-33-48-34","2143-001-01",54,2,,,,,,,,,,,2,,,,,2,,,,18,0,0,0,0
"41-90-49-08","2143-001-02",21,2,,,,,,,,,,,2,,,,,2,,,,240,0,0,0,0
"42-74-37-60","2144-001-01",44,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"42-74-37-60","2144-001-01",54,1,100,20000,1,,1,,9,1,9,1,1,40,1,2,,2,,,,40,0,0,0,0
"42-74-37-60","2144-001-01",304,1,600,210000,1,,1,,9,1,9,1,2,,,,,2,,,,0,0,0,0,0
"51-55-51-26","2145-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,0,0
"51-55-51-26","2145-001-01",54,1,110,165000,1,,1,,9,1,9,1,2,,,,,2,,,,0,0,0,0,0
"51-55-51-26","2145-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,200,0,0,0,0
"51-55-51-26","2145-001-01",304,1,1000,250000,1,,1,,2,1,2,1,2,,,,,2,,,,0,0,0,0,0
"88-95-93-56","2146-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"88-95-93-56","2146-001-01",54,1,950,1235000,1,,1,,6,2,6,2,2,,,,,2,,,,0,0,0,0,0
"37-02-89-81","2146-001-03",21,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"37-02-89-81","2146-001-03",54,1,30,39000,1,,1,,6,2,6,2,2,,,,,2,,,,0,0,0,0,0
"98-78-94-13","2147-001-01",54,1,20,20000,1,2,1,2,9,1,9,1,2,,,,,2,,,,0,0,0,0,0
"82-49-19-23","2159-001-01",54,1,400,462000,1,,1,,9,3,9,3,2,,,,,2,,,,20,0,0,0,0
"40-34-16-23","2159-001-04",54,1,120,150000,1,2,1,2,9,2,9,2,2,,,,,2,,,,0,0,0,0,0
"92-29-28-06","2162-001-01",54,1,120,72000,2,,2,,9,2,9,2,2,,,,,2,,,,0,0,0,0,0
"45-96-39-56","2164-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"45-96-39-56","2164-001-01",54,1,3,2000,1,,1,,9,1,9,1,2,,,,,2,,,,0,0,0,0,0
"08-19-86-57","2179-001-01",54,1,140,420000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"14-48-48-94","2180-001-01",54,2,,,,,,,,,,,2,,,,,2,,,,0,0,0,0,0
"82-21-30-39","2181-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"82-21-30-39","2181-001-01",54,1,157,474140,1,,1,,7,1,7,1,2,,,,,2,,,,0,0,0,0,0
"97-20-56-67","2184-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"01-60-89-94","2185-001-01",54,1,167,500000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"50-12-34-35","2197-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,240,0,0,0,0
"56-62-89-78","2199-001-01",21,1,720,18000000,2,,2,,9,2,9,2,2,,,,,2,,,,120,0,0,0,0
"97-95-25-48","2200-001-01",21,1,600,200000,1,2,1,2,16,1,16,1,2,,,,,2,,,,300,0,0,0,0
"99-10-27-02","2200-001-03",21,1,210,90000,1,2,1,2,9,1,9,1,2,,,,,1,1,1,20000,100,0,0,40,0
"89-10-69-31","2202-001-01",21,1,400,140000,1,2,1,2,9,1,9,1,2,,,,,1,2,1,30000,160,0,0,80,0
"72-15-83-72","2203-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,0,0
"56-10-08-70","2204-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,200,0,0,0,0
"78-15-43-85","2216-001-01",54,1,30,36000,1,,1,,6,2,6,2,2,,,,,2,,,,0,0,0,0,0
"81-50-48-56","2217-001-02",54,1,50,55000,1,2,1,2,9,1,9,1,2,,,,,2,,,,5,0,0,0,0
"84-58-41-51","2218-001-01",54,1,520,705000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"84-58-41-51","2218-001-01",998,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"05-40-62-63","2221-001-01",54,1,20,20000,1,2,1,2,16,1,16,1,2,,,,,2,,,,0,0,0,0,0
"24-15-17-33","2222-001-01",54,1,335,335000,1,2,1,2,9,3,9,3,2,,,,,2,,,,0,0,0,0,0
"21-66-19-79","2235-001-01",54,1,24,24000,2,,2,,7,1,7,1,2,,,,,2,,,,0,0,0,0,0
"04-72-30-29","2236-001-01",54,1,40,40000,1,,1,,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"04-72-30-29","2236-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,20,0
"00-11-58-55","2236-001-02",54,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"70-46-23-36","2237-001-01",21,2,,,,,,,,,,,2,,,,,1,3,3,4500,20,0,0,0,0
"70-46-23-36","2237-001-01",54,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"70-46-23-36","2237-001-01",304,2,,,,,,,,,,,2,,,,,2,,,,2,0,0,0,0
"33-40-18-38","2238-001-01",54,1,230,50000,1,,1,,9,3,9,3,2,,,,,2,,,,20,0,0,0,0
"00-38-57-23","2239-001-01",54,1,100,100000,1,,1,,6,2,6,1,2,,,,,2,,,,0,0,0,0,0
"00-38-57-23","2239-001-01",998,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"53-95-94-12","2254-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,5,0
"53-95-94-12","2254-001-01",54,1,450,450000,1,,1,,16,4,16,4,2,,,,,2,,,,0,0,0,0,0
"74-70-00-93","2255-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,150,0,0,0,0
"74-70-00-93","2255-001-01",54,1,60,12000,1,,1,,2,3,2,1,2,,,,,2,,,,0,0,0,0,0
"74-70-00-93","2255-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,0,0
"93-31-89-76","2256-001-01",54,1,550,300000,1,2,1,2,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"93-31-89-76","2256-001-01",304,2,,,,,,,,,,,1,120,1,2,,2,,,,120,0,0,0,0
"79-86-31-64","2256-001-03",21,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,100,0
"30-93-95-65","2257-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,25,0
"30-93-95-65","2257-001-01",54,1,560,560000,1,,1,,16,3,16,3,2,,,,,2,,,,0,0,0,0,0
"61-97-17-87","2277-001-01",21,1,500,120000,1,,1,,4,1,2,1,2,,,,,2,,,,30,0,200,270,0
"19-61-62-90","2277-001-03",21,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,80,0
"41-81-85-62","2280-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,100,0
"14-58-18-61","2292-001-02",21,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,20,0
"29-32-41-81","2293-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,110,0,0,50,0
"79-64-91-55","2294-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,880,0,0,240,0
"79-64-91-55","2294-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,42,0,0,0,0
"79-64-91-55","2294-001-01",64,2,,,,,,,,,,,2,,,,,2,,,,1,0,0,3,0
"83-01-75-41","2295-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,10,0
"80-85-79-46","2296-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,40,0
"90-57-92-07","2298-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,1000,0,0,500,0
"96-15-71-56","2311-001-01",45,2,,,,,,,,,,,1,100,1,2,,2,,,,200,0,90,100,0
"89-81-17-29","2311-001-04",21,2,,,,,,,,,,,2,,,,,2,,,,160,0,0,240,0
"75-37-54-95","2313-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,480,0,0,0,0
"85-96-93-02","2316-001-01",21,2,,,,,,,,,,,2,,,,,1,4,2,20000,480,0,0,400,0
"45-27-67-93","2318-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,200,0,0,40,0
"87-83-98-06","2349-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,50,0,50,100,0
"43-46-75-79","2349-001-03",21,2,,,,,,,,,,,2,,,,,2,,,,50,20,0,30,0
"68-30-71-79","2350-001-03",21,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,200,0
"14-98-81-49","2352-001-02",21,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"12-97-36-29","2352-001-04",21,2,,,,,,,,,,,2,,,,,2,,,,110,0,0,50,0
"81-32-40-34","2352-001-07",21,1,100,86000,1,,1,,2,1,1,1,2,,,,,2,,,,40,0,30,30,0
"87-03-73-53","2353-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,350,0,0,200,0
"18-73-48-01","2353-001-04",21,2,,,,,,,,,,,2,,,,,2,,,,640,0,0,160,0
"00-22-08-83","2354-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,80,0
"19-93-05-37","2354-001-04",21,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,40,0
"48-82-44-02","2355-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,845,0,0,400,0
"66-57-22-71","2356-001-01",21,1,300,100000,1,,1,,2,1,2,1,2,,,,,2,,,,50,0,0,50,0
"66-57-22-71","2356-001-01",45,1,150,120000,1,,1,,2,1,2,1,2,,,,,2,,,,50,0,0,0,0
"54-52-86-50","2371-001-01",21,1,125,75000,1,,1,,4,2,4,2,2,,,,,2,,,,50,0,0,25,0
"54-52-86-50","2371-001-01",34,2,,,,,,,,,,,2,,,,,2,,,,8,0,0,4,0
"54-52-86-50","2371-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,500,0,0,250,0
"19-42-65-67","2372-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,90,0,0,120,0
"77-70-58-35","2389-001-02",21,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,12,0
"95-47-09-33","2394-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,200,0,0,150,0
"95-47-09-33","2394-001-01",34,2,,,,,,,,,,,2,,,,,2,,,,55,0,0,25,0
"17-25-01-08","2431-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,140,0,0,180,0
"81-05-05-17","2432-001-01",21,1,150,120000,1,,1,,4,1,4,5,2,,,,,2,,,,50,0,0,0,0
"82-12-05-75","2435-001-01",21,1,100,50000,1,,1,,9,5,3,1,2,,,,,2,,,,20,0,0,30,0
"47-13-32-57","2464-001-03",44,1,1000,300000,13,,13,,4,1,4,1,2,,,,,2,,,,1000,0,0,0,0
"89-90-41-69","2469-001-01",56,1,400,1600000,1,2,1,2,6,2,6,2,2,,,,,2,,,,0,0,0,0,0
"89-90-41-69","2469-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"84-22-10-90","2483-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,200,0,0,50,0
"60-01-61-29","2520-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,600,0,0,0,0
"05-19-50-61","2522-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,53,0,0,0,0
"05-19-50-61","2522-001-01",44,1,144,160000,1,,1,,9,3,9,3,2,,,,,2,,,,0,0,0,0,0
"27-48-96-98","2523-001-02",21,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"07-14-14-70","2526-001-01",21,2,,,,,,,,,,,1,60,2,2,,2,,,,600,0,0,60,0
"08-10-16-12","2544-001-01",303,2,,,,,,,,,,,2,,,,,2,,,,1000,0,0,0,0
"80-87-24-09","2558-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,0,0
"38-66-19-41","2560-001-01",21,1,420,385000,2,,2,,9,1,9,1,2,,,,,2,,,,1560,0,0,0,0
"38-66-19-41","2560-001-01",34,1,40,34000,2,,2,,4,1,4,1,2,,,,,2,,,,920,20,0,0,0
"38-66-19-41","2560-001-01",44,2,,,,,,,,,,,2,,,,,2,,,,4725,0,0,0,0
