"interview__key","y5_hhid","productid","lf08_01","lf08_02","lf08_03_1","lf08_03_2","lf08_04","lf08_05_1","lf08_05_2","lf08_06","lf08_07_a","lf08_07_c","lf08_08_1","lf08_08_2"
"21-11-75-86","1063-001-01",3,1,1,2,3,2,,,,,,,
"63-59-38-21","1064-001-01",1,,,,,,,,,,,,
"63-59-38-21","1064-001-01",2,,,,,,,,,,,,
"63-59-38-21","1064-001-01",3,,,,,,,,,,,,
"51-70-28-89","1076-001-01",1,,,,,,,,,,,,
"51-70-28-89","1076-001-01",2,,,,,,,,,,,,
"51-70-28-89","1076-001-01",3,,,,,,,,,,,,
"45-88-08-27","1077-001-01",1,1,3,100,3,1,240,3,80000,16,1,6,
"45-88-08-27","1077-001-01",2,2,,,,,,,,,,,
"45-88-08-27","1077-001-01",3,2,,,,,,,,,,,
"83-42-33-56","1078-001-01",1,1,6,30,3,1,80,3,20000,4,1,2,
"83-42-33-56","1078-001-01",2,2,,,,,,,,,,,
"83-42-33-56","1078-001-01",3,2,,,,,,,,,,,
"51-38-42-66","1079-001-01",1,1,6,900,3,1,420,3,126000,4,1,2,
"51-38-42-66","1079-001-01",2,2,,,,,,,,,,,
"51-38-42-66","1079-001-01",3,2,,,,,,,,,,,
"70-13-86-62","1080-001-01",1,2,,,,,,,,,,,
"70-13-86-62","1080-001-01",2,2,,,,,,,,,,,
"70-13-86-62","1080-001-01",3,2,,,,,,,,,,,
"15-64-51-68","1081-001-01",1,2,,,,,,,,,,,
"15-64-51-68","1081-001-01",2,2,,,,,,,,,,,
"15-64-51-68","1081-001-01",3,2,,,,,,,,,,,
"40-74-76-77","1082-001-01",1,1,2,24,3,1,30,3,7500,5,2,1,2
"40-74-76-77","1082-001-01",2,2,,,,,,,,,,,
"40-74-76-77","1082-001-01",3,2,,,,,,,,,,,
"71-92-06-80","1083-001-01",1,2,,,,,,,,,,,
"71-92-06-80","1083-001-01",2,2,,,,,,,,,,,
"71-92-06-80","1083-001-01",3,2,,,,,,,,,,,
"91-21-42-14","1095-001-01",1,1,3,60,3,1,30,3,9000,5,1,1,
"91-21-42-14","1095-001-01",2,2,,,,,,,,,,,
"91-21-42-14","1095-001-01",3,2,,,,,,,,,,,
"33-55-42-43","1096-001-01",1,2,,,,,,,,,,,
"33-55-42-43","1096-001-01",2,2,,,,,,,,,,,
"33-55-42-43","1096-001-01",3,2,,,,,,,,,,,
"38-42-24-05","1096-001-03",1,1,1,16,3,2,,,,,,,
"38-42-24-05","1096-001-03",2,2,,,,,,,,,,,
"38-42-24-05","1096-001-03",3,2,,,,,,,,,,,
"13-90-80-11","1097-001-01",1,2,,,,,,,,,,,
"13-90-80-11","1097-001-01",2,2,,,,,,,,,,,
"13-90-80-11","1097-001-01",3,2,,,,,,,,,,,
"84-61-10-62","1097-001-02",1,,,,,,,,,,,,
"84-61-10-62","1097-001-02",2,,,,,,,,,,,,
"84-61-10-62","1097-001-02",3,,,,,,,,,,,,
"74-62-00-18","1097-001-04",1,2,,,,,,,,,,,
"74-62-00-18","1097-001-04",2,2,,,,,,,,,,,
"74-62-00-18","1097-001-04",3,1,1,1,3,2,,,,,,,
"12-20-57-63","1098-001-01",1,2,,,,,,,,,,,
"12-20-57-63","1098-001-01",2,2,,,,,,,,,,,
"12-20-57-63","1098-001-01",3,1,7,1,3,2,,,,,,,
"35-42-42-50","1099-001-01",1,1,3,30,3,1,20,2,5000,5,2,1,
"35-42-42-50","1099-001-01",2,2,,,,,,,,,,,
"35-42-42-50","1099-001-01",3,1,3,1,3,1,3,3,11500,5,2,1,
"42-46-16-51","1100-001-01",1,2,,,,,,,,,,,
"42-46-16-51","1100-001-01",2,2,,,,,,,,,,,
"42-46-16-51","1100-001-01",3,2,,,,,,,,,,,
"19-26-42-80","1102-001-01",1,2,,,,,,,,,,,
"19-26-42-80","1102-001-01",2,2,,,,,,,,,,,
"19-26-42-80","1102-001-01",3,2,,,,,,,,,,,
"86-26-96-59","1114-001-01",1,,,,,,,,,,,,
"86-26-96-59","1114-001-01",2,,,,,,,,,,,,
"86-26-96-59","1114-001-01",3,,,,,,,,,,,,
"02-37-07-59","1114-001-02",1,,,,,,,,,,,,
"02-37-07-59","1114-001-02",2,,,,,,,,,,,,
"02-37-07-59","1114-001-02",3,,,,,,,,,,,,
"66-86-03-22","1116-001-01",1,,,,,,,,,,,,
"66-86-03-22","1116-001-01",2,,,,,,,,,,,,
"66-86-03-22","1116-001-01",3,,,,,,,,,,,,
"93-26-69-75","1118-001-01",1,,,,,,,,,,,,
"93-26-69-75","1118-001-01",2,,,,,,,,,,,,
"93-26-69-75","1118-001-01",3,,,,,,,,,,,,
"90-93-28-88","1119-001-02",1,,,,,,,,,,,,
"90-93-28-88","1119-001-02",2,,,,,,,,,,,,
"90-93-28-88","1119-001-02",3,,,,,,,,,,,,
"88-29-40-91","1120-001-02",1,,,,,,,,,,,,
"88-29-40-91","1120-001-02",2,,,,,,,,,,,,
"88-29-40-91","1120-001-02",3,,,,,,,,,,,,
"45-81-76-58","1122-001-02",1,,,,,,,,,,,,
"45-81-76-58","1122-001-02",2,,,,,,,,,,,,
"45-81-76-58","1122-001-02",3,,,,,,,,,,,,
"08-25-45-41","1134-001-01",1,2,,,,,,,,,,,
"08-25-45-41","1134-001-01",2,2,,,,,,,,,,,
"08-25-45-41","1134-001-01",3,2,,,,,,,,,,,
"43-81-40-33","1134-001-03",1,,,,,,,,,,,,
"43-81-40-33","1134-001-03",2,,,,,,,,,,,,
"43-81-40-33","1134-001-03",3,,,,,,,,,,,,
"69-30-97-63","1135-001-01",1,,,,,,,,,,,,
"69-30-97-63","1135-001-01",2,,,,,,,,,,,,
"69-30-97-63","1135-001-01",3,,,,,,,,,,,,
"54-29-44-61","1140-001-01",1,,,,,,,,,,,,
"54-29-44-61","1140-001-01",2,,,,,,,,,,,,
"54-29-44-61","1140-001-01",3,,,,,,,,,,,,
"11-40-59-09","1140-001-03",1,,,,,,,,,,,,
"11-40-59-09","1140-001-03",2,,,,,,,,,,,,
"11-40-59-09","1140-001-03",3,,,,,,,,,,,,
"39-14-27-76","1142-001-01",1,,,,,,,,,,,,
"39-14-27-76","1142-001-01",2,,,,,,,,,,,,
"39-14-27-76","1142-001-01",3,,,,,,,,,,,,
"31-67-12-82","1152-001-01",1,1,6,20,3,2,,,,,,,
"31-67-12-82","1152-001-01",2,2,,,,,,,,,,,
"31-67-12-82","1152-001-01",3,2,,,,,,,,,,,
"13-35-77-18","1154-001-01",1,,,,,,,,,,,,
"13-35-77-18","1154-001-01",2,,,,,,,,,,,,
"13-35-77-18","1154-001-01",3,,,,,,,,,,,,
"31-48-95-02","1155-001-01",1,1,6,8,3,2,,,,,,,
"31-48-95-02","1155-001-01",2,2,,,,,,,,,,,
"31-48-95-02","1155-001-01",3,2,,,,,,,,,,,
"84-59-93-68","1158-001-01",1,,,,,,,,,,,,
"84-59-93-68","1158-001-01",2,,,,,,,,,,,,
"84-59-93-68","1158-001-01",3,,,,,,,,,,,,
"11-98-95-75","1158-001-02",1,,,,,,,,,,,,
"11-98-95-75","1158-001-02",2,,,,,,,,,,,,
"11-98-95-75","1158-001-02",3,,,,,,,,,,,,
"39-24-29-81","1159-001-01",1,1,6,12,3,1,40,3,20000,2,1,1,
"39-24-29-81","1159-001-01",2,2,,,,,,,,,,,
"39-24-29-81","1159-001-01",3,2,,,,,,,,,,,
"25-97-26-14","1162-001-01",1,,,,,,,,,,,,
"25-97-26-14","1162-001-01",2,,,,,,,,,,,,
"25-97-26-14","1162-001-01",3,,,,,,,,,,,,
"39-23-26-66","1171-001-01",1,,,,,,,,,,,,
"39-23-26-66","1171-001-01",2,,,,,,,,,,,,
"39-23-26-66","1171-001-01",3,,,,,,,,,,,,
"33-16-62-69","1172-001-03",1,,,,,,,,,,,,
"33-16-62-69","1172-001-03",2,,,,,,,,,,,,
"33-16-62-69","1172-001-03",3,,,,,,,,,,,,
"05-00-83-24","1173-001-01",1,,,,,,,,,,,,
"05-00-83-24","1173-001-01",2,,,,,,,,,,,,
"05-00-83-24","1173-001-01",3,,,,,,,,,,,,
"82-77-98-12","1174-001-01",1,,,,,,,,,,,,
"82-77-98-12","1174-001-01",2,,,,,,,,,,,,
"82-77-98-12","1174-001-01",3,,,,,,,,,,,,
"53-94-37-89","1177-001-01",1,,,,,,,,,,,,
"53-94-37-89","1177-001-01",2,,,,,,,,,,,,
"53-94-37-89","1177-001-01",3,,,,,,,,,,,,
"62-86-62-48","1177-001-03",1,,,,,,,,,,,,
"62-86-62-48","1177-001-03",2,,,,,,,,,,,,
"62-86-62-48","1177-001-03",3,,,,,,,,,,,,
"72-14-75-36","1179-001-01",1,,,,,,,,,,,,
"72-14-75-36","1179-001-01",2,,,,,,,,,,,,
"72-14-75-36","1179-001-01",3,,,,,,,,,,,,
"34-57-74-20","1179-001-02",1,,,,,,,,,,,,
"34-57-74-20","1179-001-02",2,,,,,,,,,,,,
"34-57-74-20","1179-001-02",3,,,,,,,,,,,,
"93-52-49-51","1179-001-06",1,,,,,,,,,,,,
"93-52-49-51","1179-001-06",2,,,,,,,,,,,,
"93-52-49-51","1179-001-06",3,,,,,,,,,,,,
"63-91-22-93","1191-001-01",1,,,,,,,,,,,,
"63-91-22-93","1191-001-01",2,,,,,,,,,,,,
"63-91-22-93","1191-001-01",3,,,,,,,,,,,,
"60-74-37-27","1192-001-01",1,,,,,,,,,,,,
"60-74-37-27","1192-001-01",2,,,,,,,,,,,,
"60-74-37-27","1192-001-01",3,,,,,,,,,,,,
"09-26-67-92","1193-001-01",1,1,4,15,3,2,,,,,,,
"09-26-67-92","1193-001-01",2,2,,,,,,,,,,,
"09-26-67-92","1193-001-01",3,2,,,,,,,,,,,
"94-86-36-14","1194-001-01",1,,,,,,,,,,,,
"94-86-36-14","1194-001-01",2,,,,,,,,,,,,
"94-86-36-14","1194-001-01",3,,,,,,,,,,,,
"25-38-03-95","1194-001-04",1,,,,,,,,,,,,
"25-38-03-95","1194-001-04",2,,,,,,,,,,,,
"25-38-03-95","1194-001-04",3,,,,,,,,,,,,
"95-69-66-00","1195-001-01",1,,,,,,,,,,,,
"95-69-66-00","1195-001-01",2,,,,,,,,,,,,
"95-69-66-00","1195-001-01",3,,,,,,,,,,,,
"19-34-39-64","1196-001-01",1,,,,,,,,,,,,
"19-34-39-64","1196-001-01",2,,,,,,,,,,,,
"19-34-39-64","1196-001-01",3,,,,,,,,,,,,
"68-30-00-36","1196-001-04",1,,,,,,,,,,,,
"68-30-00-36","1196-001-04",2,,,,,,,,,,,,
"68-30-00-36","1196-001-04",3,,,,,,,,,,,,
"02-54-47-04","1198-001-01",1,1,12,60,3,1,90,3,27000,2,1,1,2
"02-54-47-04","1198-001-01",2,2,,,,,,,,,,,
"02-54-47-04","1198-001-01",3,2,,,,,,,,,,,
"58-10-14-50","1201-001-01",1,,,,,,,,,,,,
"58-10-14-50","1201-001-01",2,,,,,,,,,,,,
"58-10-14-50","1201-001-01",3,,,,,,,,,,,,
"12-73-25-80","1209-001-01",1,1,5,70,3,2,,,,,,,
"12-73-25-80","1209-001-01",2,2,,,,,,,,,,,
"12-73-25-80","1209-001-01",3,2,,,,,,,,,,,
"20-96-63-72","1210-001-01",1,,,,,,,,,,,,
"20-96-63-72","1210-001-01",2,,,,,,,,,,,,
"20-96-63-72","1210-001-01",3,,,,,,,,,,,,
"29-54-32-18","1212-001-01",1,,,,,,,,,,,,
"29-54-32-18","1212-001-01",2,,,,,,,,,,,,
"29-54-32-18","1212-001-01",3,,,,,,,,,,,,
"17-51-90-93","1213-001-01",1,1,12,28,3,2,,,,,,,
"17-51-90-93","1213-001-01",2,2,,,,,,,,,,,
"17-51-90-93","1213-001-01",3,2,,,,,,,,,,,
"37-86-94-04","1215-001-01",1,,,,,,,,,,,,
"37-86-94-04","1215-001-01",2,,,,,,,,,,,,
"37-86-94-04","1215-001-01",3,,,,,,,,,,,,
"23-14-85-73","1217-001-01",1,1,8,30,3,2,,,,,,,
"23-14-85-73","1217-001-01",2,2,,,,,,,,,,,
"23-14-85-73","1217-001-01",3,2,,,,,,,,,,,
"41-93-84-74","1229-001-01",1,,,,,,,,,,,,
"41-93-84-74","1229-001-01",2,,,,,,,,,,,,
"41-93-84-74","1229-001-01",3,,,,,,,,,,,,
"40-87-17-22","1230-001-01",1,,,,,,,,,,,,
"40-87-17-22","1230-001-01",2,,,,,,,,,,,,
"40-87-17-22","1230-001-01",3,,,,,,,,,,,,
"85-07-13-31","1232-001-01",1,,,,,,,,,,,,
"85-07-13-31","1232-001-01",2,,,,,,,,,,,,
"85-07-13-31","1232-001-01",3,,,,,,,,,,,,
"32-06-62-05","1232-001-03",1,,,,,,,,,,,,
"32-06-62-05","1232-001-03",2,,,,,,,,,,,,
"32-06-62-05","1232-001-03",3,,,,,,,,,,,,
"75-03-14-99","1232-001-04",1,,,,,,,,,,,,
"75-03-14-99","1232-001-04",2,,,,,,,,,,,,
"75-03-14-99","1232-001-04",3,,,,,,,,,,,,
"59-82-97-20","1233-001-01",1,,,,,,,,,,,,
"59-82-97-20","1233-001-01",2,,,,,,,,,,,,
"59-82-97-20","1233-001-01",3,,,,,,,,,,,,
"61-64-62-24","1235-001-02",1,2,,,,,,,,,,,
"61-64-62-24","1235-001-02",2,2,,,,,,,,,,,
"61-64-62-24","1235-001-02",3,2,,,,,,,,,,,
"40-53-63-54","1236-001-01",1,,,,,,,,,,,,
"40-53-63-54","1236-001-01",2,,,,,,,,,,,,
"40-53-63-54","1236-001-01",3,,,,,,,,,,,,
"32-46-17-36","1236-001-04",1,1,4,15,3,2,,,,,,,
"32-46-17-36","1236-001-04",2,2,,,,,,,,,,,
"32-46-17-36","1236-001-04",3,2,,,,,,,,,,,
"34-83-68-87","1239-001-01",1,,,,,,,,,,,,
"34-83-68-87","1239-001-01",2,,,,,,,,,,,,
"34-83-68-87","1239-001-01",3,,,,,,,,,,,,
"44-29-24-03","1239-001-02",1,,,,,,,,,,,,
"44-29-24-03","1239-001-02",2,,,,,,,,,,,,
"44-29-24-03","1239-001-02",3,,,,,,,,,,,,
"95-72-84-20","1247-001-01",1,,,,,,,,,,,,
"95-72-84-20","1247-001-01",2,,,,,,,,,,,,
"95-72-84-20","1247-001-01",3,,,,,,,,,,,,
"42-14-42-96","1248-001-01",1,,,,,,,,,,,,
"42-14-42-96","1248-001-01",2,,,,,,,,,,,,
"42-14-42-96","1248-001-01",3,,,,,,,,,,,,
"23-68-93-72","1249-001-01",1,,,,,,,,,,,,
"23-68-93-72","1249-001-01",2,,,,,,,,,,,,
"23-68-93-72","1249-001-01",3,,,,,,,,,,,,
"97-64-08-95","1250-001-01",1,1,7,30,3,2,,,,,,,
"97-64-08-95","1250-001-01",2,2,,,,,,,,,,,
"97-64-08-95","1250-001-01",3,2,,,,,,,,,,,
"19-27-15-15","1252-001-01",1,,,,,,,,,,,,
"19-27-15-15","1252-001-01",2,,,,,,,,,,,,
"19-27-15-15","1252-001-01",3,,,,,,,,,,,,
"72-75-35-98","1253-001-01",1,,,,,,,,,,,,
"72-75-35-98","1253-001-01",2,,,,,,,,,,,,
"72-75-35-98","1253-001-01",3,,,,,,,,,,,,
"68-42-25-67","1254-001-01",1,,,,,,,,,,,,
"68-42-25-67","1254-001-01",2,,,,,,,,,,,,
"68-42-25-67","1254-001-01",3,,,,,,,,,,,,
"52-44-88-57","1266-001-02",1,,,,,,,,,,,,
"52-44-88-57","1266-001-02",2,,,,,,,,,,,,
"52-44-88-57","1266-001-02",3,,,,,,,,,,,,
"73-02-97-01","1268-001-01",1,,,,,,,,,,,,
"73-02-97-01","1268-001-01",2,,,,,,,,,,,,
"73-02-97-01","1268-001-01",3,,,,,,,,,,,,
"79-77-16-34","1269-001-01",1,,,,,,,,,,,,
"79-77-16-34","1269-001-01",2,,,,,,,,,,,,
"79-77-16-34","1269-001-01",3,,,,,,,,,,,,
"65-64-26-92","1270-001-01",1,,,,,,,,,,,,
"65-64-26-92","1270-001-01",2,,,,,,,,,,,,
"65-64-26-92","1270-001-01",3,,,,,,,,,,,,
"03-76-88-35","1272-001-01",1,,,,,,,,,,,,
"03-76-88-35","1272-001-01",2,,,,,,,,,,,,
"03-76-88-35","1272-001-01",3,,,,,,,,,,,,
"11-63-34-92","1273-001-01",1,2,,,,,,,,,,,
"11-63-34-92","1273-001-01",2,2,,,,,,,,,,,
"11-63-34-92","1273-001-01",3,2,,,,,,,,,,,
"25-92-53-56","1285-001-02",1,,,,,,,,,,,,
"25-92-53-56","1285-001-02",2,,,,,,,,,,,,
"25-92-53-56","1285-001-02",3,,,,,,,,,,,,
"53-55-81-03","1286-001-01",1,,,,,,,,,,,,
"53-55-81-03","1286-001-01",2,,,,,,,,,,,,
"53-55-81-03","1286-001-01",3,,,,,,,,,,,,
"55-53-11-05","1287-001-01",1,,,,,,,,,,,,
"55-53-11-05","1287-001-01",2,,,,,,,,,,,,
"55-53-11-05","1287-001-01",3,,,,,,,,,,,,
"26-82-27-99","1289-001-01",1,,,,,,,,,,,,
"26-82-27-99","1289-001-01",2,,,,,,,,,,,,
"26-82-27-99","1289-001-01",3,,,,,,,,,,,,
"21-58-01-13","1290-001-01",1,,,,,,,,,,,,
"21-58-01-13","1290-001-01",2,,,,,,,,,,,,
"21-58-01-13","1290-001-01",3,,,,,,,,,,,,
"10-52-94-98","1291-001-01",1,,,,,,,,,,,,
"10-52-94-98","1291-001-01",2,,,,,,,,,,,,
"10-52-94-98","1291-001-01",3,,,,,,,,,,,,
"65-52-72-29","1294-001-01",1,,,,,,,,,,,,
"65-52-72-29","1294-001-01",2,,,,,,,,,,,,
"65-52-72-29","1294-001-01",3,,,,,,,,,,,,
"37-29-66-64","1304-001-01",1,,,,,,,,,,,,
"37-29-66-64","1304-001-01",2,,,,,,,,,,,,
"37-29-66-64","1304-001-01",3,,,,,,,,,,,,
"28-24-87-55","1305-001-01",1,1,12,20,3,1,180,3,45000,2,1,1,
"28-24-87-55","1305-001-01",2,2,,,,,,,,,,,
"28-24-87-55","1305-001-01",3,2,,,,,,,,,,,
"66-65-33-22","1306-001-01",1,,,,,,,,,,,,
"66-65-33-22","1306-001-01",2,,,,,,,,,,,,
"66-65-33-22","1306-001-01",3,,,,,,,,,,,,
"56-76-03-18","1307-001-01",1,,,,,,,,,,,,
"56-76-03-18","1307-001-01",2,,,,,,,,,,,,
"56-76-03-18","1307-001-01",3,,,,,,,,,,,,
"96-10-67-72","1309-001-01",1,,,,,,,,,,,,
"96-10-67-72","1309-001-01",2,,,,,,,,,,,,
"96-10-67-72","1309-001-01",3,,,,,,,,,,,,
"88-26-77-43","1312-001-01",1,,,,,,,,,,,,
"88-26-77-43","1312-001-01",2,,,,,,,,,,,,
"88-26-77-43","1312-001-01",3,,,,,,,,,,,,
"65-62-10-78","1323-001-01",1,2,,,,,,,,,,,
"65-62-10-78","1323-001-01",2,2,,,,,,,,,,,
"65-62-10-78","1323-001-01",3,2,,,,,,,,,,,
"20-66-75-40","1323-001-04",1,,,,,,,,,,,,
"20-66-75-40","1323-001-04",2,,,,,,,,,,,,
"20-66-75-40","1323-001-04",3,,,,,,,,,,,,
"91-01-26-48","1323-001-05",1,,,,,,,,,,,,
"91-01-26-48","1323-001-05",2,,,,,,,,,,,,
"91-01-26-48","1323-001-05",3,,,,,,,,,,,,
"00-63-85-41","1325-001-01",1,2,,,,,,,,,,,
"00-63-85-41","1325-001-01",2,2,,,,,,,,,,,
"00-63-85-41","1325-001-01",3,2,,,,,,,,,,,
"17-62-39-80","1325-001-05",1,,,,,,,,,,,,
"17-62-39-80","1325-001-05",2,,,,,,,,,,,,
"17-62-39-80","1325-001-05",3,,,,,,,,,,,,
"19-45-49-88","1328-001-01",1,,,,,,,,,,,,
"19-45-49-88","1328-001-01",2,,,,,,,,,,,,
"19-45-49-88","1328-001-01",3,,,,,,,,,,,,
"99-92-94-71","1329-001-01",1,,,,,,,,,,,,
"99-92-94-71","1329-001-01",2,,,,,,,,,,,,
"99-92-94-71","1329-001-01",3,,,,,,,,,,,,
"96-56-62-65","1331-001-01",1,1,3,90,3,2,,,,,,,
"96-56-62-65","1331-001-01",2,2,,,,,,,,,,,
"96-56-62-65","1331-001-01",3,2,,,,,,,,,,,
"02-10-68-03","1332-001-01",1,1,3,15,3,2,,,,,,,
"02-10-68-03","1332-001-01",2,2,,,,,,,,,,,
"02-10-68-03","1332-001-01",3,2,,,,,,,,,,,
"14-23-99-91","1333-001-01",1,1,8,20,3,2,,,,,,,
"14-23-99-91","1333-001-01",2,2,,,,,,,,,,,
