"interview__key","y5_hhid","cropid","ag5a_01","ag5a_02","ag5a_03","ag5a_04_1","ag5a_04_2","ag5a_05","ag5a_06","ag5a_07_1","ag5a_07_2","ag5a_08","ag5a_09_1","ag5a_09_2","ag5a_10_1","ag5a_10_2","ag5a_11a","ag5a_11_1","ag5a_11_2","ag5a_12","ag5a_13","ag5a_14_1","ag5a_14_2","ag5a_15","ag5a_16_1","ag5a_16_2","ag5a_17_1","ag5a_17_2","ag5a_18","ag5a_19","ag5a_20","ag5a_21","ag5a_22","ag5a_23","ag5a_24","ag5a_25","ag5a_26","ag5a_27","ag5a_28","ag5a_29","ag5a_30","ag5a_31","ag5a_32","ag5a_32a","ag5a_32b","ag5a_32c","ag5a_32d","ag5a_32e","ag5a_33","ag5a_34","ag5a_35","ag5a_36_1a","ag5a_36_1b","ag5a_36_2a","ag5a_36_2b"
"08-25-45-41","1134-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,50,5,0,20,45,2,,,,,,
"08-25-45-41","1134-001-01",31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,34,6,0,20,0,2,,,,,,
"02-54-47-04","1198-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40,4,2,,3,2,,,,60,40,0,40,0,2,,,,,,
"59-82-97-20","1233-001-01",11,1,9000,5400000,9,1,9000,5400000,8,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,1,900,3,1,1,1,2,,,,100,0,0,0,0,5,,,,,,
"61-64-62-24","1235-001-02",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,35,0,0,0,0,2,,,,,,
"61-64-62-24","1235-001-02",32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,18,0,0,0,0,2,,,,,,
"61-64-62-24","1235-001-02",998,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,9,0,0,0,0,2,,,,,,
"32-46-17-36","1236-001-04",11,1,378,120000,9,4,378,120000,7,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,120,20,32,80,0,2,,,,,,
"28-24-87-55","1305-001-01",11,1,756,420000,9,1,756,420000,9,2020,2,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,216,0,0,108,0,5,,,,,,
"20-66-75-40","1323-001-04",12,1,360,180000,2,1,360,180000,7,2021,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"99-92-94-71","1329-001-01",998,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,10,10000,35,0,0,5,0,2,,,,,,
"96-56-62-65","1331-001-01",998,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,85,0,0,0,0,1,,,,,,
"85-21-92-45","1348-001-01",11,1,40000,16800000,9,5,40000,16800000,8,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,1,2,1,10000,228,50,0,30,0,2,,,,,,
"85-21-92-45","1348-001-01",26,1,4000,2800000,9,5,4000,2800000,11,2020,3,1,2,1,2,2,,,,,,,,,,,,2,,,,,1,600,3,1,1,2,2,,,,15,0,0,0,0,2,,,,,,
"85-21-92-45","1348-001-01",35,1,4700,5076000,9,5,4700,5076000,11,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"85-21-92-45","1348-001-01",41,1,9800,4900000,9,5,9800,4900000,8,2020,2,1,2,1,2,2,,,,,,,,,,,,2,,,,,1,200,3,1,1,4,2,,,,0,0,0,0,0,2,,,,,,
"35-22-61-35","1401-001-01",11,1,700,476000,3,1,400,272000,9,2021,1,1,2,1,2,1,2,1,300,204000,9,2021,1,1,2,1,2,2,,,,,1,150,4,1,3,1,2,,,,200,0,0,200,0,2,,,,,,
"39-91-71-06","1403-001-01",11,1,400,400000,9,3,400,400000,7,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,3,,,,,,
"79-50-93-44","1462-001-01",32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,20,0,0,0,0,2,,,,,,
"79-50-93-44","1462-001-01",998,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,33,0,0,0,0,2,,,,,,
"88-91-41-19","1541-001-01",32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,11,0,0,0,0,2,,,,,,
"98-95-18-17","1556-001-01",32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,8,0,0,0,0,2,,,,,,
"98-95-18-17","1556-001-01",998,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,11,0,0,0,0,2,,,,,,
"07-54-14-55","1559-001-01",22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,60,0,0,0,0,2,,,,,,
"07-54-14-55","1559-001-01",998,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,450,0,0,0,0,2,,,,,,
"00-17-71-97","1596-001-01",11,1,280,112000,20,1,280,112000,2,2021,1,1,2,1,2,2,,,,,,,,,,,,1,0,1,4,0,1,70,2,2,,1,2,,,,1190,70,140,0,560,4,,,,,,
"00-17-71-97","1596-001-01",31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,80,2,1,3,3,2,,,,260,80,0,140,80,4,,,,,,
"26-08-75-88","1665-001-01",12,1,1500,1200000,9,2,1500,1200000,9,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,665,0,0,85,0,2,,,,,,
"59-65-56-21","1707-001-01",22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,60,0,0,0,0,2,,,,,,
"36-06-21-60","1708-001-07",33,1,200,240000,9,1,200,240000,5,2020,1,1,,1,,2,,,,,,,,,,,,1,1,2,2,0,2,,,,,,2,,,,90,0,0,0,0,2,,,,,,
"42-24-69-58","1725-001-02",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,216,0,0,0,0,5,,,,,,
"51-51-72-36","1744-001-01",12,1,500,500000,9,5,500,500000,9,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"15-97-35-81","1745-001-01",12,1,100,130000,2,1,100,130000,8,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,200,0,0,180,0,2,,,,,,
"15-97-35-81","1745-001-01",32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,30,0,0,5,0,2,,,,,,
"15-97-35-81","1745-001-01",43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,30,0,0,34,0,2,,,,,,
"46-39-86-17","1765-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,300,0,0,100,0,2,,,,,,
"46-39-86-17","1765-001-01",998,1,100,50000,2,1,100,50000,5,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,180,0,0,20,0,2,,,,,,
"88-80-90-94","1766-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,81,2,45,72,0,2,,,,,,
"17-64-18-79","1768-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,150,0,0,0,0,2,,,,,,
"76-34-61-71","1779-001-01",11,1,216,60000,16,1,216,60000,8,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,702,54,0,0,0,2,,,,,,
"76-34-61-71","1779-001-01",34,1,220,200000,16,1,220,200000,10,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"97-53-95-82","1780-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,810,54,0,0,0,2,,,,,,
"97-53-95-82","1780-001-01",31,1,600,900000,16,1,600,900000,10,2020,3,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,80,40,0,0,0,2,,,,,,
"97-53-95-82","1780-001-01",34,1,360,360000,16,1,360,360000,10,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"97-53-95-82","1780-001-01",35,1,220,240000,16,1,220,240000,11,2020,1,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"97-53-95-82","1780-001-01",41,1,600,700000,16,1,600,700000,8,2020,2,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"41-24-27-93","1781-001-01",11,1,14040,3900000,16,2,14040,3900000,10,2020,1,1,,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,864,0,1080,216,0,4,,,,,,
"41-24-27-93","1781-001-01",15,1,1920,2400000,16,2,1920,2400000,9,2020,1,1,,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,16,0,0,0,4,,,,,,
"41-24-27-93","1781-001-01",34,1,3096,1432000,16,2,3024,1400000,9,2020,1,1,,1,2,1,5,1,72,32000,10,2020,1,1,,1,2,1,22,1,6,3000,2,,,,,,2,,,,1152,36,0,36,0,4,,,,,,
"41-24-27-93","1781-001-01",41,1,768,400000,16,2,768,400000,10,2020,1,1,,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,192,192,0,4,,,,,,
"00-71-13-59","1782-001-03",11,1,600,150000,9,1,600,150000,6,2020,1,3,5,3,5,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,300,0,0,60,0,5,,,,,,
"00-71-13-59","1782-001-03",41,1,525,315000,9,1,525,315000,4,2021,1,3,5,3,5,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,90,60,0,0,0,2,,,,,,
"70-69-92-64","1783-001-01",11,1,1080,300000,16,2,1080,300000,2,2021,2,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,432,36,0,72,0,4,,,,,,
"70-69-92-64","1783-001-01",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,170,20,0,50,0,4,,,,,,
"70-69-92-64","1783-001-01",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70,4,2,,1,2,,,,110,20,0,40,0,4,,,,,,
"70-69-92-64","1783-001-01",34,1,240,160000,5,2,240,160000,9,2020,1,1,2,1,2,2,,,,,,,,,,,,1,3,1,6,30000,2,,,,,,2,,,,40,20,0,0,0,4,,,,,,
"70-69-92-64","1783-001-01",41,1,672,280000,16,2,672,280000,5,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,84,36,0,48,0,4,,,,,,
"94-30-16-27","1784-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,215,5,0,0,0,5,,,,,,
"94-30-16-27","1784-001-01",34,1,40,40000,9,3,40,40000,9,2020,1,1,,1,5,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,8,2,0,0,0,5,,,,,,
"31-80-34-98","1785-001-02",11,1,720,252000,9,1,720,252000,7,2020,1,2,,2,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,440,40,0,480,0,5,,,,,,
"31-80-34-98","1785-001-02",34,1,640,320000,9,1,640,320000,9,2020,1,2,,2,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,40,20,0,0,0,2,,,,,,
"31-80-34-98","1785-001-02",41,1,300,140000,9,1,300,140000,9,2020,1,2,,2,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,70,20,0,60,0,2,,,,,,
"11-59-35-06","1785-001-03",11,1,756,240000,16,1,756,240000,10,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,270,18,0,36,0,2,,,,,,
"11-59-35-06","1785-001-03",22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,110,0,0,40,0,8,,,,,,
"11-59-35-06","1785-001-03",34,1,120,75000,16,1,120,75000,10,2020,2,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,35,20,0,5,0,2,,,,,,
"11-59-35-06","1785-001-03",41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,84,0,0,24,0,2,,,,,,
"36-49-19-37","1786-001-01",11,1,540,125000,9,3,540,125000,10,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,1,540,4,1,1,1,2,,,,756,0,0,864,0,2,,,,,,
"36-49-19-37","1786-001-01",35,1,2160,2160000,9,3,2160,2160000,10,2021,3,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"61-05-13-10","1798-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,56,4,1,1,1,2,,,,106,10,0,0,0,4,,,,,,
"61-05-13-10","1798-001-01",41,1,2648,1102670,9,1,2648,1102670,8,2020,4,1,,1,,2,,,,,,,,,,,,2,,,,,1,50,4,2,,3,2,,,,0,56,0,0,0,2,,,,,,
"03-94-16-92","1799-001-01",11,1,504,224000,9,1,504,224000,9,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,1,378,4,2,,1,2,,,,238,50,0,54,0,4,,,,,,
"03-94-16-92","1799-001-01",13,1,252,126000,9,1,252,126000,8,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,106,20,0,36,0,2,,,,,,
"03-94-16-92","1799-001-01",36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,20,0,0,0,0,2,,,,,,
"03-94-16-92","1799-001-01",41,1,954,480000,9,1,954,480000,8,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,30,0,24,0,2,,,,,,
"96-34-88-55","1800-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,150,8,2,,1,2,,,,300,50,0,0,0,4,,,,,,
"96-34-88-55","1800-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100,8,2,,1,2,,,,180,20,0,0,0,4,,,,,,
